line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#B85A4E,北环城路,125.324223,43.947848,0
1号线,轨道交通1号线,#B85A4E,庆丰路,125.324188,43.937160,0
1号线,轨道交通1号线,#B85A4E,一匡街,125.324210,43.925303,0
1号线,轨道交通1号线,#B85A4E,长春站北,125.324183,43.914054,0
1号线,轨道交通1号线,#B85A4E,长春站,125.322008,43.909300,0
1号线,轨道交通1号线,#B85A4E,胜利公园,125.324329,43.899969,0
1号线,轨道交通1号线,#B85A4E,人民广场,125.324652,43.888644,0
1号线,轨道交通1号线,#B85A4E,解放大路,125.324882,43.878239,0
1号线,轨道交通1号线,#B85A4E,东北师大,125.325186,43.864052,0
1号线,轨道交通1号线,#B85A4E,工农广场,125.325463,43.850834,0
1号线,轨道交通1号线,#B85A4E,繁荣路,125.325708,43.841070,0
1号线,轨道交通1号线,#B85A4E,卫星广场,125.325828,43.832692,0
1号线,轨道交通1号线,#B85A4E,市政府,125.325954,43.818790,0
1号线,轨道交通1号线,#B85A4E,华庆路,125.327083,43.800122,0
1号线,轨道交通1号线,#B85A4E,红嘴子,125.327441,43.790474,0
2号线,轨道交通2号线,#0065B3,汽车公园,125.172047,43.833703,0
2号线,轨道交通2号线,#0065B3,捷达大路,125.167693,43.847184,0
2号线,轨道交通2号线,#0065B3,西湖,125.169993,43.856159,0
2号线,轨道交通2号线,#0065B3,双丰,125.185602,43.867421,0
2号线,轨道交通2号线,#0065B3,长春西站,125.201137,43.876570,0
2号线,轨道交通2号线,#0065B3,兴隆堡,125.224131,43.883822,0
2号线,轨道交通2号线,#0065B3,西环城路,125.240387,43.884055,0
2号线,轨道交通2号线,#0065B3,和平大街,125.254528,43.884187,0
2号线,轨道交通2号线,#0065B3,万福街,125.265774,43.884307,0
2号线,轨道交通2号线,#0065B3,景阳广场,125.276182,43.882633,0
2号线,轨道交通2号线,#0065B3,解放桥,125.287330,43.876606,0
2号线,轨道交通2号线,#0065B3,建设广场,125.297361,43.877855,0
2号线,轨道交通2号线,#0065B3,文化广场,125.306497,43.877930,0
2号线,轨道交通2号线,#0065B3,解放大路,125.324882,43.878239,0
2号线,轨道交通2号线,#0065B3,平阳街,125.333755,43.878343,0
2号线,轨道交通2号线,#0065B3,南关,125.345395,43.880757,0
2号线,轨道交通2号线,#0065B3,吉林大路,125.364291,43.881324,0
2号线,轨道交通2号线,#0065B3,东盛大街,125.376719,43.882324,0
2号线,轨道交通2号线,#0065B3,东环城路,125.394422,43.882469,0
2号线,轨道交通2号线,#0065B3,长青,125.409919,43.882369,0
2号线,轨道交通2号线,#0065B3,东方广场,125.425773,43.881860,0
3号线,轨道交通3号线,#0F4524,伪满皇宫,125.352451,43.906613,0
3号线,轨道交通3号线,#0F4524,东广场,125.339476,43.908971,0
3号线,轨道交通3号线,#0F4524,长春站,125.322008,43.909300,0
3号线,轨道交通3号线,#0F4524,芙蓉桥,125.308055,43.904862,0
3号线,轨道交通3号线,#0F4524,西安桥,125.300408,43.895069,0
3号线,轨道交通3号线,#0F4524,南昌路,125.297275,43.890639,0
3号线,轨道交通3号线,#0F4524,朝阳桥,125.292945,43.884733,0
3号线,轨道交通3号线,#0F4524,解放桥,125.287330,43.876606,0
3号线,轨道交通3号线,#0F4524,湖西桥,125.282278,43.869490,0
3号线,轨道交通3号线,#0F4524,宽平桥,125.274103,43.862603,0
3号线,轨道交通3号线,#0F4524,抚松路,125.268338,43.857929,0
3号线,轨道交通3号线,#0F4524,孟家屯,125.261858,43.851164,0
3号线,轨道交通3号线,#0F4524,湖光路,125.266565,43.844416,0
3号线,轨道交通3号线,#0F4524,电台街,125.278424,43.833172,0
3号线,轨道交通3号线,#0F4524,前进西,125.286928,43.832210,0
3号线,轨道交通3号线,#0F4524,前进大街,125.293389,43.832251,0
3号线,轨道交通3号线,#0F4524,卫明街,125.302816,43.832443,0
3号线,轨道交通3号线,#0F4524,卫光街,125.315498,43.832610,0
3号线,轨道交通3号线,#0F4524,卫星广场,125.325828,43.832692,0
3号线,轨道交通3号线,#0F4524,亚泰立交桥,125.339420,43.832594,0
3号线,轨道交通3号线,#0F4524,伊通河,125.350101,43.832951,0
3号线,轨道交通3号线,#0F4524,职业学院,125.366424,43.833026,0
3号线,轨道交通3号线,#0F4524,吉林广电,125.379588,43.833290,0
3号线,轨道交通3号线,#0F4524,会展中心,125.390878,43.833404,0
3号线,轨道交通3号线,#0F4524,世纪广场,125.402731,43.836561,0
3号线,轨道交通3号线,#0F4524,金鑫街,125.421064,43.834456,0
3号线,轨道交通3号线,#0F4524,博硕路,125.429246,43.829773,0
3号线,轨道交通3号线,#0F4524,金河街,125.439225,43.821796,0
3号线,轨道交通3号线,#0F4524,农博园,125.444902,43.814396,0
3号线,轨道交通3号线,#0F4524,净月潭公园,125.450897,43.803659,0
3号线,轨道交通3号线,#0F4524,紫杉路,125.440356,43.792804,0
3号线,轨道交通3号线,#0F4524,宝相街,125.440254,43.785152,0
3号线,轨道交通3号线,#0F4524,滑雪场,125.449544,43.776619,0
3号线,轨道交通3号线,#0F4524,长影世纪城,125.450379,43.771809,0
4号线,轨道交通4号线,#381366,天新路,125.366510,43.755248,0
4号线,轨道交通4号线,#381366,前十里堡,125.366346,43.763433,0
4号线,轨道交通4号线,#381366,天普路,125.366193,43.771389,0
4号线,轨道交通4号线,#381366,天青路,125.366048,43.778471,0
4号线,轨道交通4号线,#381366,福祉大路,125.366113,43.787479,0
4号线,轨道交通4号线,#381366,天工路,125.366364,43.795729,0
4号线,轨道交通4号线,#381366,宜盛街,125.365782,43.807269,0
4号线,轨道交通4号线,#381366,南环城路,125.365602,43.817469,0
4号线,轨道交通4号线,#381366,世荣路,125.365444,43.825280,0
4号线,轨道交通4号线,#381366,职业学院,125.366424,43.833026,0
4号线,轨道交通4号线,#381366,北海路,125.365017,43.841999,0
4号线,轨道交通4号线,#381366,威海路,125.364941,43.850712,0
4号线,轨道交通4号线,#381366,浦东路,125.364816,43.857058,0
4号线,轨道交通4号线,#381366,海口路,125.364668,43.863829,0
4号线,轨道交通4号线,#381366,公平路,125.364467,43.872059,0
4号线,轨道交通4号线,#381366,吉林大路,125.364291,43.881324,0
4号线,轨道交通4号线,#381366,东新路,125.366161,43.892212,0
4号线,轨道交通4号线,#381366,东大桥,125.357264,43.900059,0
4号线,轨道交通4号线,#381366,伪满皇宫,125.352451,43.906613,0
4号线,轨道交通4号线,#381366,北亚泰大街,125.337057,43.912412,0
4号线,轨道交通4号线,#381366,长春站北,125.324183,43.914054,0
8号线,轨道交通8号线,#52A8C9,北环城路,125.324223,43.947848,0
