line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#CC0000,开福区政府,112.985412,28.262049,0
1号线,地铁1号线,#CC0000,马厂,112.988706,28.251249,0
1号线,地铁1号线,#CC0000,北辰三角洲,112.983575,28.236228,0
1号线,地铁1号线,#CC0000,开福寺,112.979552,28.222438,0
1号线,地铁1号线,#CC0000,文昌阁,112.978199,28.212711,0
1号线,地铁1号线,#CC0000,培元桥,112.976453,28.206185,0
1号线,地铁1号线,#CC0000,五一广场,112.976433,28.195317,0
1号线,地铁1号线,#CC0000,黄兴广场,112.976431,28.189421,0
1号线,地铁1号线,#CC0000,南门口,112.976195,28.183482,0
1号线,地铁1号线,#CC0000,侯家塘,112.982137,28.173771,0
1号线,地铁1号线,#CC0000,南湖路,112.985594,28.166068,0
1号线,地铁1号线,#CC0000,黄土岭,112.985503,28.160534,0
1号线,地铁1号线,#CC0000,涂家冲,112.984784,28.153165,0
1号线,地铁1号线,#CC0000,铁道学院,112.987321,28.136157,0
1号线,地铁1号线,#CC0000,友谊路,112.986898,28.123626,0
1号线,地铁1号线,#CC0000,省政府·清风,112.987512,28.111178,0
1号线,地铁1号线,#CC0000,桂花坪,112.988329,28.099230,0
1号线,地铁1号线,#CC0000,大托,112.989189,28.082555,0
1号线,地铁1号线,#CC0000,中信广场,112.989731,28.073694,0
1号线,地铁1号线,#CC0000,尚双塘,112.992268,28.061900,0
2号线,地铁2号线,#52A8C9,梅溪湖西,112.881887,28.185907,0
2号线,地铁2号线,#52A8C9,麓云路,112.892059,28.190840,0
2号线,地铁2号线,#52A8C9,文化艺术中心,112.900472,28.196690,0
2号线,地铁2号线,#52A8C9,梅溪湖东,112.908183,28.201674,0
2号线,地铁2号线,#52A8C9,望城坡(汽车西站),112.913704,28.207479,0
2号线,地铁2号线,#52A8C9,金星路,112.928603,28.206047,0
2号线,地铁2号线,#52A8C9,西湖公园,112.939929,28.202632,0
2号线,地铁2号线,#52A8C9,溁湾镇,112.951436,28.197614,0
2号线,地铁2号线,#52A8C9,橘子洲,112.962520,28.195601,0
2号线,地铁2号线,#52A8C9,湘江中路,112.969365,28.195218,0
2号线,地铁2号线,#52A8C9,五一广场,112.976433,28.195317,0
2号线,地铁2号线,#52A8C9,芙蓉广场,112.984666,28.194886,0
2号线,地铁2号线,#52A8C9,迎宾路口,112.992188,28.194793,0
2号线,地铁2号线,#52A8C9,袁家岭,113.000651,28.194545,0
2号线,地铁2号线,#52A8C9,长沙火车站,113.010987,28.193633,0
2号线,地铁2号线,#52A8C9,锦泰广场,113.017587,28.191855,0
2号线,地铁2号线,#52A8C9,万家丽广场,113.030191,28.191546,0
2号线,地铁2号线,#52A8C9,人民东路,113.038701,28.184163,0
2号线,地铁2号线,#52A8C9,长沙大道,113.044480,28.168306,0
2号线,地铁2号线,#52A8C9,沙湾公园,113.044896,28.157673,0
2号线,地铁2号线,#52A8C9,杜花路,113.056471,28.146351,0
2号线,地铁2号线,#52A8C9,长沙火车南站,113.065216,28.146879,0
2号线,地铁2号线,#52A8C9,光达,113.085035,28.148484,0
3号线,地铁3号线,#86B81C,山塘,112.925807,28.098771,0
3号线,地铁3号线,#86B81C,洋湖湿地,112.938748,28.114688,0
3号线,地铁3号线,#86B81C,洋湖新城,112.945435,28.128512,0
3号线,地铁3号线,#86B81C,阳光,112.937036,28.141393,0
3号线,地铁3号线,#86B81C,中南大学,112.937700,28.154180,0
3号线,地铁3号线,#86B81C,阜埠河,112.947515,28.166300,0
3号线,地铁3号线,#86B81C,灵官渡,112.970553,28.179242,0
3号线,地铁3号线,#86B81C,侯家塘,112.982137,28.173771,0
3号线,地铁3号线,#86B81C,东塘,112.992915,28.169681,0
3号线,地铁3号线,#86B81C,桂花公园,113.001436,28.170511,0
3号线,地铁3号线,#86B81C,阿弥岭,113.008163,28.174613,0
3号线,地铁3号线,#86B81C,朝阳村,113.010784,28.186494,0
3号线,地铁3号线,#86B81C,长沙火车站,113.010987,28.193633,0
3号线,地铁3号线,#86B81C,烈士公园东,113.008970,28.208126,0
3号线,地铁3号线,#86B81C,丝茅冲,113.006989,28.223694,0
3号线,地铁3号线,#86B81C,四方坪,113.007036,28.230812,0
3号线,地铁3号线,#86B81C,雅雀湖,113.013852,28.237324,0
3号线,地铁3号线,#86B81C,长沙大学,113.031121,28.240928,0
3号线,地铁3号线,#86B81C,月湖公园北,113.041096,28.242686,0
3号线,地铁3号线,#86B81C,湘龙,113.06097,28.245687,0
3号线,地铁3号线,#86B81C,星沙,113.086893,28.245662,0
3号线,地铁3号线,#86B81C,松雅湖(南),113.103550,28.245423,0
3号线,地铁3号线,#86B81C,星沙文体中心,113.111578,28.245450,0
3号线,地铁3号线,#86B81C,螺丝塘,113.123168,28.245467,0
3号线,地铁3号线,#86B81C,广生,113.135584,28.244943,0
4号线,地铁4号线,#D10195,罐子岭,112.923179,28.294837,0
4号线,地铁4号线,#D10195,月亮岛西,112.929541,28.287271,0
4号线,地铁4号线,#D10195,湘江新城,112.933708,28.281703,0
4号线,地铁4号线,#D10195,汉王陵公园,112.947534,28.267719,0
4号线,地铁4号线,#D10195,福元大桥西,112.958741,28.253235,0
4号线,地铁4号线,#D10195,茶子山,112.959532,28.242663,0
4号线,地铁4号线,#D10195,观沙岭,112.952474,28.230549,0
4号线,地铁4号线,#D10195,六沟垅,112.954251,28.221307,0
4号线,地铁4号线,#D10195,望月湖,112.955938,28.206613,0
4号线,地铁4号线,#D10195,溁湾镇,112.951436,28.197614,0
4号线,地铁4号线,#D10195,湖南师大,112.948159,28.186262,0
4号线,地铁4号线,#D10195,湖南大学,112.946592,28.179689,0
4号线,地铁4号线,#D10195,阜埠河,112.947515,28.166300,0
4号线,地铁4号线,#D10195,碧沙湖,112.967816,28.164447,0
4号线,地铁4号线,#D10195,黄土岭,112.985503,28.160534,0
4号线,地铁4号线,#D10195,砂子塘,112.992857,28.162338,0
4号线,地铁4号线,#D10195,赤岗岭,113.005298,28.159718,0
4号线,地铁4号线,#D10195,树木岭,113.020083,28.155980,0
4号线,地铁4号线,#D10195,圭塘,113.031077,28.157508,0
4号线,地铁4号线,#D10195,沙湾公园,113.044896,28.157673,0
