line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#018237,姚家,121.619355,39.023335,0
1号线,地铁1号线,#018237,大连北站,121.607802,39.014758,0
1号线,地铁1号线,#018237,华北路,121.594002,39.008465,0
1号线,地铁1号线,#018237,华南北,121.586203,39.000251,0
1号线,地铁1号线,#018237,华南广场,121.586503,38.989534,0
1号线,地铁1号线,#018237,千山路,121.581709,38.979133,0
1号线,地铁1号线,#018237,松江路,121.577949,38.968898,0
1号线,地铁1号线,#018237,东纬路,121.580125,38.956306,0
1号线,地铁1号线,#018237,春柳,121.582390,38.935994,0
1号线,地铁1号线,#018237,香工街,121.588785,38.931104,0
1号线,地铁1号线,#018237,中长街,121.592008,38.923872,0
1号线,地铁1号线,#018237,兴工街,121.588627,38.916854,0
1号线,地铁1号线,#018237,西安路,121.587,38.9094,0
1号线,地铁1号线,#018237,富国街,121.584703,38.898792,0
1号线,地铁1号线,#018237,会展中心,121.585760,38.891444,0
1号线,地铁1号线,#018237,星海广场,121.582468,38.884617,0
1号线,地铁1号线,#018237,大医二院,121.570510,38.881360,0
1号线,地铁1号线,#018237,黑石礁,121.557527,38.874543,0
1号线,地铁1号线,#018237,学苑广场,121.545596,38.874769,0
1号线,地铁1号线,#018237,海事大学,121.534513,38.866029,0
1号线,地铁1号线,#018237,七贤岭,121.527401,38.856992,0
1号线,地铁1号线,#018237,河口,121.513572,38.843476,0
2号线,地铁2号线,#01A2E2,大连北站,121.607802,39.014758,0
2号线,地铁2号线,#01A2E2,南关岭,121.588918,39.018005,0
2号线,地铁2号线,#01A2E2,体育中心,121.571624,39.016002,0
2号线,地铁2号线,#01A2E2,卫生中心,121.557030,39.015062,0
2号线,地铁2号线,#01A2E2,后革,121.542653,39.014913,0
2号线,地铁2号线,#01A2E2,革镇堡,121.529956,39.008097,0
2号线,地铁2号线,#01A2E2,中革,121.522284,38.998817,0
2号线,地铁2号线,#01A2E2,前革,121.518075,38.983157,0
2号线,地铁2号线,#01A2E2,辛寨子,121.515132,38.971093,0
2号线,地铁2号线,#01A2E2,机场,121.540484,38.961743,0
2号线,地铁2号线,#01A2E2,虹港路,121.543076,38.955789,0
2号线,地铁2号线,#01A2E2,虹锦路,121.540146,38.947149,0
2号线,地铁2号线,#01A2E2,红旗西路,121.533457,38.927759,0
2号线,地铁2号线,#01A2E2,湾家,121.541876,38.924548,0
2号线,地铁2号线,#01A2E2,马栏广场,121.554623,38.920078,0
2号线,地铁2号线,#01A2E2,辽师大,121.564077,38.916019,0
2号线,地铁2号线,#01A2E2,交通大学,121.571770,38.912891,0
2号线,地铁2号线,#01A2E2,西安路,121.587,38.9094,0
2号线,地铁2号线,#01A2E2,联合路,121.596452,38.914197,0
2号线,地铁2号线,#01A2E2,人民广场,121.610339,38.910677,0
2号线,地铁2号线,#01A2E2,一二九街,121.622608,38.913014,0
2号线,地铁2号线,#01A2E2,青泥洼桥,121.631329,38.916949,0
2号线,地铁2号线,#01A2E2,友好广场,121.637633,38.919626,0
2号线,地铁2号线,#01A2E2,中山广场,121.643895,38.921551,0
2号线,地铁2号线,#01A2E2,港湾广场,121.660174,38.926683,0
2号线,地铁2号线,#01A2E2,会议中心,121.675493,38.924416,0
2号线,地铁2号线,#01A2E2,东港,121.689681,38.920149,0
2号线,地铁2号线,#01A2E2,东海,121.702930,38.915165,0
2号线,地铁2号线,#01A2E2,海之韵,121.715485,38.910999,0
3号线,地铁3号线,#F0087D,大连站,121.629500,38.922955,0
3号线,地铁3号线,#F0087D,香炉礁,121.604,38.9286,0
3号线,地铁3号线,#F0087D,金家街,121.602,38.9678,0
3号线,地铁3号线,#F0087D,泉水,121.617,39.0014,0
3号线,地铁3号线,#F0087D,后盐,121.637711,39.021362,0
