line,lineName,color,name,lat,lon,loop
2号线,轨道交通2号线,#FC0601,东莞火车站,113.86,23.0886,0
2号线,轨道交通2号线,#FC0601,茶山,113.844,23.0795,0
2号线,轨道交通2号线,#FC0601,榴花公园,113.814,23.0803,0
2号线,轨道交通2号线,#FC0601,下桥,113.788,23.0628,0
2号线,轨道交通2号线,#FC0601,天宝,113.779,23.0473,0
2号线,轨道交通2号线,#FC0601,东城,113.776,23.0327,0
2号线,轨道交通2号线,#FC0601,旗峰公园,113.768,23.02,0
2号线,轨道交通2号线,#FC0601,鸿福路,113.76,23.0113,0
2号线,轨道交通2号线,#FC0601,西平,113.747,22.9939,0
2号线,轨道交通2号线,#FC0601,蛤地,113.729,22.9781,0
2号线,轨道交通2号线,#FC0601,陈屋,113.69,22.9577,0
2号线,轨道交通2号线,#FC0601,寮厦,113.674,22.941,0
2号线,轨道交通2号线,#FC0601,珊美,113.664,22.9262,0
2号线,轨道交通2号线,#FC0601,展览中心,113.662,22.9024,0
2号线,轨道交通2号线,#FC0601,虎门火车站,113.672,22.8593,0
