line,lineName,color,name,lat,lon,loop
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,礌岗,113.155426,23.042607,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,华翠路,113.164210,23.036947,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,夏西,113.172051,23.035832,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,夏东,113.181520,23.034666,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,康怡公园,113.189986,23.033161,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,平西,113.195747,23.028123,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,平南,113.201777,23.020543,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,玉器街,113.209963,23.021661,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,中区,113.226331,23.025601,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,三山新城北,113.234775,23.023025,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,文翰湖公园(季华实验室),113.235812,23.019014,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,三山新城南,113.234279,23.006418,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,林岳北,113.233647,23.003406,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,林岳西,113.237161,22.993744,0
南海有轨电车1号线,南海有轨电车1号线,#01A2E2,林岳东,113.247353,22.994175,0
佛山2号线,佛山地铁2号线,#FC0601,南庄,113.006550,22.982952,0
佛山2号线,佛山地铁2号线,#FC0601,湖涌,113.011388,23.002970,0
佛山2号线,佛山地铁2号线,#FC0601,绿岛湖,113.034239,23.001982,0
佛山2号线,佛山地铁2号线,#FC0601,智慧新城,113.055418,23.011163,0
佛山2号线,佛山地铁2号线,#FC0601,张槎,113.067748,23.011037,0
佛山2号线,佛山地铁2号线,#FC0601,石湾,113.083286,23.005298,0
佛山2号线,佛山地铁2号线,#FC0601,沙岗,113.094247,22.996518,0
佛山2号线,佛山地铁2号线,#FC0601,魁奇路,113.108612,22.993964,0
佛山2号线,佛山地铁2号线,#FC0601,石梁,113.118747,22.992691,0
佛山2号线,佛山地铁2号线,#FC0601,湾华,113.131767,22.992076,0
佛山2号线,佛山地铁2号线,#FC0601,登洲,113.148863,22.979296,0
佛山2号线,佛山地铁2号线,#FC0601,花卉世界,113.161350,22.973388,0
佛山2号线,佛山地铁2号线,#FC0601,仙涌,113.198254,22.983006,0
佛山2号线,佛山地铁2号线,#FC0601,石洲,113.216131,22.990593,0
佛山2号线,佛山地铁2号线,#FC0601,林岳西,113.237161,22.993744,0
佛山2号线,佛山地铁2号线,#FC0601,林岳东(2号线),113.249693,22.993909,0
佛山2号线,佛山地铁2号线,#FC0601,广州南站,113.269815,22.988773,0
3号线,地铁3号线,#0065B3,顺德学院站,113.318334,22.818597,0
3号线,地铁3号线,#0065B3,顺德欢乐海岸,113.307041,22.818775,0
3号线,地铁3号线,#0065B3,顺德一中,113.293508,22.832837,0
3号线,地铁3号线,#0065B3,驹荣北路,113.277465,22.834905,0
3号线,地铁3号线,#0065B3,东乐路,113.264525,22.834855,0
3号线,地铁3号线,#0065B3,大良钟楼,113.253056,22.839431,0
3号线,地铁3号线,#0065B3,环市北,113.243957,22.852506,0
3号线,地铁3号线,#0065B3,顺德人民医院,113.242391,22.867663,0
3号线,地铁3号线,#0065B3,荔村,113.231423,22.872133,0
3号线,地铁3号线,#0065B3,伦教,113.214186,22.880340,0
3号线,地铁3号线,#0065B3,广教,113.212542,22.909301,0
3号线,地铁3号线,#0065B3,北滘公园,113.212092,22.930050,0
3号线,地铁3号线,#0065B3,高村,113.194272,22.944812,0
3号线,地铁3号线,#0065B3,北滘西站,113.178142,22.952097,0
3号线,地铁3号线,#0065B3,潭洲会展,113.164387,22.948608,0
3号线,地铁3号线,#0065B3,岳步,113.144682,22.943009,0
3号线,地铁3号线,#0065B3,大墩,113.129428,22.953760,0
3号线,地铁3号线,#0065B3,东平,113.129190,22.965266,0
3号线,地铁3号线,#0065B3,湾华,113.131767,22.992076,0
3号线,地铁3号线,#0065B3,亚艺公园,113.129357,23.001877,0
3号线,地铁3号线,#0065B3,季华六路,113.136767,23.012073,0
3号线,地铁3号线,#0065B3,镇安,113.144388,23.016498,0
7号线,地铁7号线,#86B81C,燕山,113.475020,23.195180,0
7号线,地铁7号线,#86B81C,水西,113.478780,23.187489,0
7号线,地铁7号线,#86B81C,萝岗,113.481099,23.175589,0
7号线,地铁7号线,#86B81C,科丰路,113.466111,23.162857,0
7号线,地铁7号线,#86B81C,加庄,113.460106,23.147830,0
7号线,地铁7号线,#86B81C,姬堂,113.455914,23.132126,0
7号线,地铁7号线,#86B81C,大沙东,113.458515,23.106216,0
7号线,地铁7号线,#86B81C,裕丰围,113.455795,23.094844,0
7号线,地铁7号线,#86B81C,长洲,113.429383,23.076198,0
7号线,地铁7号线,#86B81C,深井,113.409559,23.068711,0
7号线,地铁7号线,#86B81C,大学城南,113.400478,23.043408,0
7号线,地铁7号线,#86B81C,板桥,113.388139,23.016845,0
7号线,地铁7号线,#86B81C,员岗,113.365641,23.015962,0
7号线,地铁7号线,#86B81C,南村万博,113.347555,23.004789,0
7号线,地铁7号线,#86B81C,汉溪长隆,113.329955,22.992812,0
7号线,地铁7号线,#86B81C,钟村,113.316552,22.986726,0
7号线,地铁7号线,#86B81C,谢村,113.295832,22.990579,0
7号线,地铁7号线,#86B81C,石壁,113.277964,22.994136,0
7号线,地铁7号线,#86B81C,广州南站,113.269815,22.988773,0
7号线,地铁7号线,#86B81C,大洲,113.257295,22.983794,0
7号线,地铁7号线,#86B81C,陈村北,113.245244,22.976123,0
7号线,地铁7号线,#86B81C,陈村,113.236869,22.967991,0
7号线,地铁7号线,#86B81C,锦龙,113.241500,22.953137,0
7号线,地铁7号线,#86B81C,南涌,113.238172,22.939321,0
7号线,地铁7号线,#86B81C,美的,113.226867,22.933506,0
7号线,地铁7号线,#86B81C,北滘公园,113.212092,22.930050,0
7号线,地铁7号线,#86B81C,美的大道,113.207767,22.944766,0
广佛线,广佛线,#B8D201,新城东,113.140008,22.958653,0
广佛线,广佛线,#B8D201,东平,113.129190,22.965266,0
广佛线,广佛线,#B8D201,世纪莲,113.114917,22.965147,0
广佛线,广佛线,#B8D201,澜石,113.107107,22.983985,0
广佛线,广佛线,#B8D201,魁奇路,113.108612,22.993964,0
广佛线,广佛线,#B8D201,季华园,113.108547,23.007104,0
广佛线,广佛线,#B8D201,同济路,113.108503,23.019222,0
广佛线,广佛线,#B8D201,祖庙,113.112099,23.027073,0
广佛线,广佛线,#B8D201,普君北路,113.122240,23.027678,0
广佛线,广佛线,#B8D201,朝安,113.133537,23.027676,0
广佛线,广佛线,#B8D201,桂城,113.141432,23.031674,0
广佛线,广佛线,#B8D201,南桂路,113.154139,23.034167,0
广佛线,广佛线,#B8D201,礌岗,113.155426,23.042607,0
广佛线,广佛线,#B8D201,千灯湖,113.155356,23.054818,0
广佛线,广佛线,#B8D201,金融高新区,113.158548,23.065814,0
广佛线,广佛线,#B8D201,龙溪,113.192391,23.066029,0
广佛线,广佛线,#B8D201,菊树,113.212863,23.065868,0
广佛线,广佛线,#B8D201,西塱,113.231978,23.065437,0
广佛线,广佛线,#B8D201,鹤洞,113.240153,23.072495,0
广佛线,广佛线,#B8D201,沙涌,113.246794,23.083043,0
广佛线,广佛线,#B8D201,沙园,113.260584,23.088625,0
广佛线,广佛线,#B8D201,燕岗,113.271988,23.075142,0
广佛线,广佛线,#B8D201,石溪,113.285951,23.067937,0
