line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#FC0601,象峰,119.329640,26.143430,0
1号线,地铁1号线,#FC0601,秀山,119.321016,26.133785,0
1号线,地铁1号线,#FC0601,罗汉山,119.318370,26.126086,0
1号线,地铁1号线,#FC0601,福州火车站,119.318133,26.112978,0
1号线,地铁1号线,#FC0601,斗门,119.313723,26.103973,0
1号线,地铁1号线,#FC0601,树兜,119.306675,26.102362,0
1号线,地铁1号线,#FC0601,屏山,119.297038,26.096256,0
1号线,地铁1号线,#FC0601,东街口,119.299259,26.085960,0
1号线,地铁1号线,#FC0601,南门兜,119.303197,26.076250,0
1号线,地铁1号线,#FC0601,茶亭,119.304376,26.069167,0
1号线,地铁1号线,#FC0601,达道,119.309855,26.056982,0
1号线,地铁1号线,#FC0601,上藤,119.320579,26.043708,0
1号线,地铁1号线,#FC0601,三叉街,119.326693,26.034785,0
1号线,地铁1号线,#FC0601,白湖亭,119.335262,26.025916,0
1号线,地铁1号线,#FC0601,葫芦阵,119.343550,26.017109,0
1号线,地铁1号线,#FC0601,黄山,119.348788,26.010176,0
1号线,地铁1号线,#FC0601,排下,119.354008,26.001603,0
1号线,地铁1号线,#FC0601,城门,119.360220,25.996158,0
1号线,地铁1号线,#FC0601,三角埕,119.368306,25.990796,0
1号线,地铁1号线,#FC0601,胪雷,119.380086,25.984504,0
1号线,地铁1号线,#FC0601,福州火车南站,119.390592,25.985951,0
1号线,地铁1号线,#FC0601,安平,119.402224,25.992335,0
1号线,地铁1号线,#FC0601,梁厝,119.415109,25.994261,0
1号线,地铁1号线,#FC0601,下洋,119.420776,25.984204,0
1号线,地铁1号线,#FC0601,三江口,119.426122,25.978861,0
2号线,地铁2号线,#00AB4F,苏洋,119.159630,26.098509,0
2号线,地铁2号线,#00AB4F,沙堤,119.173983,26.085788,0
2号线,地铁2号线,#00AB4F,上街,119.187282,26.075681,0
2号线,地铁2号线,#00AB4F,金屿,119.200134,26.067193,0
2号线,地铁2号线,#00AB4F,福州大学,119.203480,26.058382,0
2号线,地铁2号线,#00AB4F,董屿·福建师大,119.207305,26.041328,0
2号线,地铁2号线,#00AB4F,厚庭,119.214929,26.041330,0
2号线,地铁2号线,#00AB4F,桔园洲,119.242783,26.046869,0
2号线,地铁2号线,#00AB4F,洪湾,119.250067,26.047386,0
2号线,地铁2号线,#00AB4F,金山,119.262331,26.047449,0
2号线,地铁2号线,#00AB4F,金祥,119.271121,26.048511,0
2号线,地铁2号线,#00AB4F,祥坂,119.286026,26.060745,0
2号线,地铁2号线,#00AB4F,宁化,119.293285,26.062753,0
2号线,地铁2号线,#00AB4F,西洋,119.296899,26.071669,0
2号线,地铁2号线,#00AB4F,南门兜,119.303197,26.076250,0
2号线,地铁2号线,#00AB4F,水部,119.314169,26.076428,0
2号线,地铁2号线,#00AB4F,紫阳,119.327173,26.076378,0
2号线,地铁2号线,#00AB4F,五里亭,119.340276,26.074265,0
2号线,地铁2号线,#00AB4F,前屿,119.350356,26.071935,0
2号线,地铁2号线,#00AB4F,上洋,119.363035,26.066498,0
2号线,地铁2号线,#00AB4F,鼓山,119.375054,26.053312,0
2号线,地铁2号线,#00AB4F,洋里,119.372233,26.045254,0
4号线,地铁4号线,#EE782E,帝封江,119.335440,25.987382,0
4号线,地铁4号线,#EE782E,螺洲温泉,119.349023,25.990339,0
4号线,地铁4号线,#EE782E,城门,119.360220,25.996158,0
4号线,地铁4号线,#EE782E,林浦,119.365369,26.015993,0
4号线,地铁4号线,#EE782E,会展中心,119.359563,26.029607,0
4号线,地铁4号线,#EE782E,花海公园,119.350420,26.040078,0
4号线,地铁4号线,#EE782E,鳌峰洲,119.344516,26.054747,0
4号线,地铁4号线,#EE782E,光明港,119.346943,26.064887,0
4号线,地铁4号线,#EE782E,前屿,119.350356,26.071935,0
4号线,地铁4号线,#EE782E,后屿,119.352541,26.081629,0
4号线,地铁4号线,#EE782E,横屿,119.352237,26.089831,0
4号线,地铁4号线,#EE782E,竹屿,119.337675,26.093040,0
4号线,地铁4号线,#EE782E,三角池,119.326262,26.090976,0
4号线,地铁4号线,#EE782E,东门,119.314236,26.087506,0
4号线,地铁4号线,#EE782E,省立医院,119.307583,26.086754,0
4号线,地铁4号线,#EE782E,东街口,119.299259,26.085960,0
4号线,地铁4号线,#EE782E,西门,119.290055,26.084700,0
4号线,地铁4号线,#EE782E,陆庄,119.283553,26.082510,0
4号线,地铁4号线,#EE782E,凤凰池,119.272710,26.078389,0
5号线,地铁5号线,#741D51,荆溪厚屿,119.231542,26.109727,0
5号线,地铁5号线,#741D51,农林大学,119.246814,26.084736,0
5号线,地铁5号线,#741D51,洪塘,119.248963,26.073414,0
5号线,地铁5号线,#741D51,阵坂,119.251769,26.065387,0
5号线,地铁5号线,#741D51,马榕,119.258374,26.055436,0
5号线,地铁5号线,#741D51,金山,119.262331,26.047449,0
5号线,地铁5号线,#741D51,凤岗里,119.266951,26.038708,0
5号线,地铁5号线,#741D51,浦上大道,119.272675,26.034091,0
5号线,地铁5号线,#741D51,霞镜,119.276478,26.025311,0
5号线,地铁5号线,#741D51,东岭,119.277347,26.013371,0
5号线,地铁5号线,#741D51,台屿,119.281334,26.005975,0
5号线,地铁5号线,#741D51,盘屿,119.292994,25.999391,0
5号线,地铁5号线,#741D51,吴山,119.310732,25.997274,0
5号线,地铁5号线,#741D51,盖山竹榄,119.320549,25.993859,0
5号线,地铁5号线,#741D51,义序,119.32743,25.986895,0
5号线,地铁5号线,#741D51,帝封江,119.335440,25.987382,0
5号线,地铁5号线,#741D51,螺洲古镇,119.351377,25.98628,0
5号线,地铁5号线,#741D51,前锦,119.362402,25.984426,0
5号线,地铁5号线,#741D51,龙江,119.372382,25.984442,0
5号线,地铁5号线,#741D51,福州火车南站,119.390592,25.985951,0
6号线,地铁6号线,#01A2E2,潘墩,119.357766,26.020812,0
6号线,地铁6号线,#01A2E2,林浦,119.365369,26.015993,0
6号线,地铁6号线,#01A2E2,樟岚,119.389454,26.006301,0
6号线,地铁6号线,#01A2E2,梁厝,119.415109,25.994261,0
6号线,地铁6号线,#01A2E2,下洋,119.420776,25.984204,0
6号线,地铁6号线,#01A2E2,营前,119.474237,25.956739,0
6号线,地铁6号线,#01A2E2,航城,119.491172,25.951756,0
6号线,地铁6号线,#01A2E2,郑和,119.503077,25.958179,0
6号线,地铁6号线,#01A2E2,十洋,119.515221,25.958195,0
6号线,地铁6号线,#01A2E2,吴航,119.528927,25.951181,0
6号线,地铁6号线,#01A2E2,鹤上,119.538539,25.940531,0
6号线,地铁6号线,#01A2E2,沙京,119.546560,25.930828,0
6号线,地铁6号线,#01A2E2,莲花,119.571059,25.919240,0
6号线,地铁6号线,#01A2E2,下吴,119.582616,25.912233,0
6号线,地铁6号线,#01A2E2,壶井,119.593335,25.905685,0
6号线,地铁6号线,#01A2E2,万寿,119.602630,25.899952,0
