line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#86B81C,小孟工业园,106.709631,26.497717,0
1号线,轨道交通1号线,#86B81C,清水江路,106.709301,26.507042,0
1号线,轨道交通1号线,#86B81C,长江路,106.711012,26.517896,0
1号线,轨道交通1号线,#86B81C,珠江路,106.710916,26.526198,0
1号线,轨道交通1号线,#86B81C,望城坡,106.712279,26.536496,0
1号线,轨道交通1号线,#86B81C,沙冲路,106.703009,26.549737,0
1号线,轨道交通1号线,#86B81C,贵阳火车站,106.703395,26.557631,0
1号线,轨道交通1号线,#86B81C,河滨公园,106.707840,26.569234,0
1号线,轨道交通1号线,#86B81C,中山西路,106.709770,26.577099,0
1号线,轨道交通1号线,#86B81C,喷水池,106.710272,26.583623,0
1号线,轨道交通1号线,#86B81C,北京路,106.706819,26.593213,0
1号线,轨道交通1号线,#86B81C,八鸽岩,106.703101,26.596972,0
1号线,轨道交通1号线,#86B81C,南垭路,106.704979,26.615794,0
1号线,轨道交通1号线,#86B81C,雅关,106.702330,26.636544,0
1号线,轨道交通1号线,#86B81C,贵阳北站,106.675334,26.619512,0
1号线,轨道交通1号线,#86B81C,白鹭湖,106.661739,26.619642,0
1号线,轨道交通1号线,#86B81C,新寨,106.654321,26.629075,0
1号线,轨道交通1号线,#86B81C,阳关,106.655737,26.639058,0
1号线,轨道交通1号线,#86B81C,国际生态会议中心,106.648565,26.645633,0
1号线,轨道交通1号线,#86B81C,观山湖公园,106.631581,26.645087,0
1号线,轨道交通1号线,#86B81C,林城西路,106.617487,26.645228,0
1号线,轨道交通1号线,#86B81C,阅山湖公园,106.608246,26.645964,0
1号线,轨道交通1号线,#86B81C,老湾塘,106.590209,26.648316,0
1号线,轨道交通1号线,#86B81C,下麦西,106.579946,26.655046,0
1号线,轨道交通1号线,#86B81C,窦官,106.569271,26.653414,0
2号线,轨道交通2号线,#2249A3,白云北路,106.625255,26.692439,0
2号线,轨道交通2号线,#2249A3,白云中路,106.63138,26.683171,0
2号线,轨道交通2号线,#2249A3,云峰大道,106.62506,26.678026,0
2号线,轨道交通2号线,#2249A3,泉湖公园,106.621795,26.66914,0
2号线,轨道交通2号线,#2249A3,枫林路,106.61757,26.661408,0
2号线,轨道交通2号线,#2249A3,诚信路,106.617569,26.651159,0
2号线,轨道交通2号线,#2249A3,林城西路,106.617487,26.645228,0
2号线,轨道交通2号线,#2249A3,观山西路,106.61702,26.634981,0
2号线,轨道交通2号线,#2249A3,兴筑路,106.616523,26.623167,0
2号线,轨道交通2号线,#2249A3,金阳医院,106.621249,26.611661,0
2号线,轨道交通2号线,#2249A3,金阳南路,106.619938,26.603303,0
2号线,轨道交通2号线,#2249A3,茶园,106.623881,26.596805,0
2号线,轨道交通2号线,#2249A3,百花大道,106.636582,26.589454,0
2号线,轨道交通2号线,#2249A3,马王庙,106.653293,26.586923,0
2号线,轨道交通2号线,#2249A3,北京西路,106.660436,26.592642,0
2号线,轨道交通2号线,#2249A3,改茶路,106.667507,26.583797,0
2号线,轨道交通2号线,#2249A3,黔春路,106.679940,26.580707,0
2号线,轨道交通2号线,#2249A3,延安西路,106.697750,26.581929,0
2号线,轨道交通2号线,#2249A3,紫林庵,106.705365,26.582337,0
2号线,轨道交通2号线,#2249A3,喷水池,106.710272,26.583623,0
2号线,轨道交通2号线,#2249A3,阳明祠,106.723111,26.582990,0
2号线,轨道交通2号线,#2249A3,省人民医院,106.724577,26.577308,0
2号线,轨道交通2号线,#2249A3,宝山南路,106.729154,26.570346,0
2号线,轨道交通2号线,#2249A3,油榨街,106.731750,26.562296,0
2号线,轨道交通2号线,#2249A3,贵钢,106.731897,26.554461,0
2号线,轨道交通2号线,#2249A3,富源北路,106.738754,26.549254,0
2号线,轨道交通2号线,#2249A3,森林公园,106.770644,26.546210,0
2号线,轨道交通2号线,#2249A3,见龙洞,106.780787,26.546959,0
2号线,轨道交通2号线,#2249A3,龙洞堡机场,106.798835,26.543783,0
2号线,轨道交通2号线,#2249A3,小碧,106.789144,26.534948,0
2号线,轨道交通2号线,#2249A3,云盘,106.780733,26.530491,0
2号线,轨道交通2号线,#2249A3,中兴路,106.777530,26.518927,0
3号线,轨道交通3号线,#FC0601,洛湾,106.826012,26.654985,0
3号线,轨道交通3号线,#FC0601,东风(贵黔医院),106.819027,26.637366,0
3号线,轨道交通3号线,#FC0601,师范学院,106.794970,26.635616,0
3号线,轨道交通3号线,#FC0601,高新路,106.777158,26.636372,0
3号线,轨道交通3号线,#FC0601,新添,106.769295,26.631877,0
3号线,轨道交通3号线,#FC0601,顺海,106.747986,26.623105,0
3号线,轨道交通3号线,#FC0601,茶店,106.732883,26.615031,0
3号线,轨道交通3号线,#FC0601,大营坡,106.725775,26.604633,0
3号线,轨道交通3号线,#FC0601,贵医,106.714878,26.595881,0
3号线,轨道交通3号线,#FC0601,北京路,106.706819,26.593213,0
3号线,轨道交通3号线,#FC0601,黔灵山公园,106.697128,26.587777,0
3号线,轨道交通3号线,#FC0601,延安西路,106.697750,26.581929,0
3号线,轨道交通3号线,#FC0601,松花路,106.689587,26.569567,0
3号线,轨道交通3号线,#FC0601,花果园,106.685163,26.565768,0
3号线,轨道交通3号线,#FC0601,五里冲,106.675079,26.559555,0
3号线,轨道交通3号线,#FC0601,太慈桥,106.682421,26.552943,0
3号线,轨道交通3号线,#FC0601,皂角井,106.686440,26.542530,0
3号线,轨道交通3号线,#FC0601,四方河(省中医院),106.682159,26.530236,0
