line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#FC0601,湘湖,120.234391,30.167585,0
1号线,地铁1号线,#FC0601,滨康路,120.231003,30.183864,0
1号线,地铁1号线,#FC0601,西兴,120.220429,30.187295,0
1号线,地铁1号线,#FC0601,滨和路,120.217552,30.199550,0
1号线,地铁1号线,#FC0601,江陵路,120.216603,30.208999,0
1号线,地铁1号线,#FC0601,近江,120.197851,30.230791,0
1号线,地铁1号线,#FC0601,婺江路,120.191008,30.236914,0
1号线,地铁1号线,#FC0601,城站,120.180770,30.244567,0
1号线,地铁1号线,#FC0601,定安路,120.167751,30.245954,0
1号线,地铁1号线,#FC0601,龙翔桥,120.164052,30.254642,0
1号线,地铁1号线,#FC0601,凤起路,120.162887,30.263779,0
1号线,地铁1号线,#FC0601,武林广场,120.164324,30.272368,0
1号线,地铁1号线,#FC0601,西湖文化广场,120.165639,30.279585,0
1号线,地铁1号线,#FC0601,打铁关,120.176739,30.285425,0
1号线,地铁1号线,#FC0601,闸弄口,120.192496,30.284507,0
1号线,地铁1号线,#FC0601,火车东站,120.212892,30.291124,0
1号线,地铁1号线,#FC0601,彭埠,120.223661,30.294065,0
1号线,地铁1号线,#FC0601,七堡,120.241065,30.300002,0
1号线,地铁1号线,#FC0601,九和路,120.252784,30.305799,0
1号线,地铁1号线,#FC0601,九堡,120.266622,30.307910,0
1号线,地铁1号线,#FC0601,客运中心,120.278700,30.311183,0
1号线,地铁1号线,#FC0601,下沙西,120.312534,30.309918,0
1号线,地铁1号线,#FC0601,金沙湖,120.325720,30.309246,0
1号线,地铁1号线,#FC0601,高沙路,120.335408,30.309420,0
1号线,地铁1号线,#FC0601,文泽路,120.350055,30.310059,0
1号线,地铁1号线,#FC0601,文海南路,120.375052,30.310983,0
1号线,地铁1号线,#FC0601,云水,120.381787,30.302893,0
1号线,地铁1号线,#FC0601,下沙江滨,120.381725,30.286768,0
1号线,地铁1号线,#FC0601,杭州大会展中心,120.411964,30.271186,0
1号线,地铁1号线,#FC0601,港城大道,120.425429,30.270715,0
1号线,地铁1号线,#FC0601,南阳,120.435738,30.270138,0
1号线,地铁1号线,#FC0601,向阳路,120.442553,30.260328,0
1号线,地铁1号线,#FC0601,萧山国际机场,120.433114,30.235568,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,姑娘桥,120.330526,30.175919,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,衙前,120.359979,30.163186,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,杨汛桥,120.365385,30.144413,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,前梅,120.394114,30.123976,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,钱清,120.411309,30.122089,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,西沙路,120.426351,30.117483,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,临杭大道,120.440676,30.110425,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,鉴水路,120.457067,30.098638,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,越州大道,120.480306,30.087067,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,中国轻纺城,120.489294,30.081927,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,明珠广场,120.495955,30.079358,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,瓜渚湖,120.509045,30.074299,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,镜水路,120.521654,30.068570,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,黄酒小镇,120.539694,30.058074,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,张墅,120.554367,30.053156,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,奥体中心,120.569815,30.056241,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,梅山广场,120.576920,30.048401,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,凤林,120.581756,30.036891,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,大滩,120.582664,30.023667,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,火车站,120.581237,30.013147,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,城市广场,120.581278,30.003736,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,鲁迅故里,120.580552,29.991483,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,城南大道,120.580411,29.975860,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,凤凰山,120.577787,29.962525,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,劳家葑,120.577025,29.951761,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,南池,120.575794,29.939082,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,栖湖,120.575390,29.928852,0
绍兴1号线,轨道交通1号线(杭绍线),#E3002A,芳泉,120.570951,29.918247,0
2号线,地铁2号线,#EE782E,朝阳,120.268228,30.122219,0
2号线,地铁2号线,#EE782E,曹家桥,120.267867,30.134524,0
2号线,地铁2号线,#EE782E,潘水,120.267644,30.148186,0
2号线,地铁2号线,#EE782E,人民路,120.267502,30.159176,0
2号线,地铁2号线,#EE782E,杭发厂,120.267205,30.170619,0
2号线,地铁2号线,#EE782E,人民广场,120.266831,30.179593,0
2号线,地铁2号线,#EE782E,建设一路,120.266538,30.194046,0
2号线,地铁2号线,#EE782E,建设三路,120.268252,30.204512,0
2号线,地铁2号线,#EE782E,振宁路,120.269215,30.217695,0
2号线,地铁2号线,#EE782E,飞虹路,120.263328,30.230955,0
2号线,地铁2号线,#EE782E,盈丰路,120.252501,30.236997,0
2号线,地铁2号线,#EE782E,钱江世纪城,120.244139,30.240555,0
2号线,地铁2号线,#EE782E,钱江路,120.213387,30.255978,0
2号线,地铁2号线,#EE782E,庆春广场,120.204748,30.257602,0
2号线,地铁2号线,#EE782E,庆菱路,120.193077,30.257613,0
2号线,地铁2号线,#EE782E,建国北路,120.181413,30.264496,0
2号线,地铁2号线,#EE782E,中河北路,120.172436,30.264596,0
2号线,地铁2号线,#EE782E,凤起路,120.162887,30.263779,0
2号线,地铁2号线,#EE782E,武林门,120.155365,30.269668,0
2号线,地铁2号线,#EE782E,沈塘桥,120.150223,30.280146,0
2号线,地铁2号线,#EE782E,下宁桥,120.140128,30.283325,0
2号线,地铁2号线,#EE782E,学院路,120.129577,30.282745,0
2号线,地铁2号线,#EE782E,古翠路,120.117918,30.282192,0
2号线,地铁2号线,#EE782E,丰潭路,120.109629,30.281911,0
2号线,地铁2号线,#EE782E,文新,120.098193,30.289251,0
2号线,地铁2号线,#EE782E,三坝,120.097778,30.300714,0
2号线,地铁2号线,#EE782E,虾龙圩,120.096383,30.309587,0
2号线,地铁2号线,#EE782E,三墩,120.093014,30.320033,0
2号线,地铁2号线,#EE782E,墩祥街,120.087615,30.331667,0
2号线,地铁2号线,#EE782E,金家渡,120.083912,30.339138,0
2号线,地铁2号线,#EE782E,白洋,120.072905,30.351155,0
2号线,地铁2号线,#EE782E,杜甫村,120.056549,30.359033,0
2号线,地铁2号线,#EE782E,良渚,120.041654,30.358992,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,吴山前村,119.980178,30.311359,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,汤家村,119.981929,30.305485,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,火车西站,119.986523,30.297877,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,龙舟北路,119.983435,30.288001,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,文一西路,119.980650,30.274990,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,绿汀路,119.992062,30.260140,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,全丰,120.008123,30.246863,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,高教路,120.019406,30.242871,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,联胜路,120.032497,30.244061,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,洪园,120.050372,30.248290,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,西溪湿地南,120.061779,30.253858,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,花坞,120.076724,30.260750,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,东岳,120.089527,30.262171,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,古墩路,120.101975,30.265363,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,古荡新村,120.111229,30.269789,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,古荡,120.122457,30.270848,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,黄龙体育中心,120.129899,30.268190,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,黄龙洞,120.140449,30.265387,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,武林门,120.155365,30.269668,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,武林广场,120.164324,30.272368,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,西湖文化广场,120.165639,30.279585,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,潮王路,120.158795,30.290314,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,香积寺,120.148795,30.299974,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,大关,120.149143,30.307815,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,善贤,120.160651,30.317478,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,新天地街,120.179584,30.321168,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,汽轮广场,120.188317,30.334899,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,华丰路,120.204384,30.340050,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,同协路,120.211873,30.344386,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,桃花湖公园,120.221315,30.351468,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,丁桥,120.234606,30.355786,0
3号线（吴前新村-星桥）,地铁3号线,#FFA500,华鹤街,120.237758,30.370397,0
