line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#CC0000,九联圩,117.286181,31.691457,0
1号线,轨道交通1号线,#CC0000,丙子铺,117.297393,31.691450,0
1号线,轨道交通1号线,#CC0000,万年埠,117.302102,31.698436,0
1号线,轨道交通1号线,#CC0000,万达城,117.302177,31.705865,0
1号线,轨道交通1号线,#CC0000,云谷路,117.302216,31.713223,0
1号线,轨道交通1号线,#CC0000,金斗公园,117.302630,31.723036,0
1号线,轨道交通1号线,#CC0000,塘西河公园,117.302601,31.731507,0
1号线,轨道交通1号线,#CC0000,紫庐,117.302627,31.740745,0
1号线,轨道交通1号线,#CC0000,滨湖会展中心,117.302666,31.754639,0
1号线,轨道交通1号线,#CC0000,高王,117.291420,31.773139,0
1号线,轨道交通1号线,#CC0000,骆岗,117.291451,31.783406,0
1号线,轨道交通1号线,#CC0000,南站南广场,117.291500,31.792643,0
1号线,轨道交通1号线,#CC0000,合肥南站,117.290051,31.800004,0
1号线,轨道交通1号线,#CC0000,望湖城,117.292040,31.805361,0
1号线,轨道交通1号线,#CC0000,葛大店,117.303172,31.814564,0
1号线,轨道交通1号线,#CC0000,秋浦河路,117.301989,31.823177,0
1号线,轨道交通1号线,#CC0000,朱岗,117.301739,31.832155,0
1号线,轨道交通1号线,#CC0000,合工大南区,117.300710,31.847196,0
1号线,轨道交通1号线,#CC0000,包公园,117.301360,31.856274,0
1号线,轨道交通1号线,#CC0000,大东门,117.300761,31.863957,0
1号线,轨道交通1号线,#CC0000,明光路,117.304588,31.869977,0
1号线,轨道交通1号线,#CC0000,长淮,117.309132,31.875623,0
1号线,轨道交通1号线,#CC0000,合肥火车站,117.315587,31.883376,0
1号线,轨道交通1号线,#CC0000,瑶海公园,117.314410,31.890064,0
1号线,轨道交通1号线,#CC0000,兴华苑,117.313651,31.903499,0
1号线,轨道交通1号线,#CC0000,张洼,117.322349,31.918001,0
2号线,轨道交通2号线,#0065B3,南岗,117.115653,31.850724,0
2号线,轨道交通2号线,#0065B3,桂庄,117.126784,31.850724,0
2号线,轨道交通2号线,#0065B3,汽车西站,117.136078,31.850853,0
2号线,轨道交通2号线,#0065B3,振兴路,117.151850,31.851072,0
2号线,轨道交通2号线,#0065B3,蜀山西,117.168011,31.851358,0
2号线,轨道交通2号线,#0065B3,大蜀山,117.186676,31.852178,0
2号线,轨道交通2号线,#0065B3,天柱路,117.198511,31.854188,0
2号线,轨道交通2号线,#0065B3,科学大道,117.208841,31.855940,0
2号线,轨道交通2号线,#0065B3,十里庙,117.223213,31.854899,0
2号线,轨道交通2号线,#0065B3,西七里塘,117.230892,31.852496,0
2号线,轨道交通2号线,#0065B3,五里墩,117.241141,31.851095,0
2号线,轨道交通2号线,#0065B3,三里庵,117.255594,31.854586,0
2号线,轨道交通2号线,#0065B3,安农大,117.265503,31.858171,0
2号线,轨道交通2号线,#0065B3,三孝口,117.275340,31.861092,0
2号线,轨道交通2号线,#0065B3,四牌楼,117.289704,31.861668,0
2号线,轨道交通2号线,#0065B3,大东门,117.300761,31.863957,0
2号线,轨道交通2号线,#0065B3,三里街,117.313994,31.867598,0
2号线,轨道交通2号线,#0065B3,东五里井,117.324534,31.867763,0
2号线,轨道交通2号线,#0065B3,东七里,117.338466,31.867807,0
2号线,轨道交通2号线,#0065B3,漕冲,117.351760,31.868068,0
2号线,轨道交通2号线,#0065B3,东二十埠,117.367157,31.868250,0
2号线,轨道交通2号线,#0065B3,龙岗,117.376461,31.868407,0
2号线,轨道交通2号线,#0065B3,王岗,117.389813,31.868729,0
2号线,轨道交通2号线,#0065B3,三十埠,117.397380,31.868958,0
2号线,轨道交通2号线,#0065B3,三十埠东,117.419787,31.871942,0
2号线,轨道交通2号线,#0065B3,祥和,117.429972,31.874137,0
2号线,轨道交通2号线,#0065B3,桂王,117.442701,31.873924,0
2号线,轨道交通2号线,#0065B3,对河,117.456765,31.872755,0
2号线,轨道交通2号线,#0065B3,店埠河,117.471814,31.875137,0
2号线,轨道交通2号线,#0065B3,排头,117.480548,31.871727,0
2号线,轨道交通2号线,#0065B3,肥东站,117.485937,31.859451,0
2号线,轨道交通2号线,#0065B3,和睦湖,117.492172,31.852110,0
2号线,轨道交通2号线,#0065B3,马桥,117.492154,31.844429,0
2号线,轨道交通2号线,#0065B3,南沙河,117.492091,31.833716,0
2号线,轨道交通2号线,#0065B3,撮镇,117.492021,31.822867,0
3号线,轨道交通3号线,#00AB4F,省儿童医院新区,117.175866,31.685539,0
3号线,轨道交通3号线,#00AB4F,乐平,117.175930,31.694225,0
3号线,轨道交通3号线,#00AB4F,芮祠,117.166408,31.700766,0
3号线,轨道交通3号线,#00AB4F,四十埠,117.158302,31.708476,0
3号线,轨道交通3号线,#00AB4F,李湾,117.156570,31.718865,0
3号线,轨道交通3号线,#00AB4F,凉亭,117.162791,31.723900,0
3号线,轨道交通3号线,#00AB4F,安医一附院南区,117.168994,31.742272,0
3号线,轨道交通3号线,#00AB4F,幸福坝,117.180698,31.751017,0
3号线,轨道交通3号线,#00AB4F,安大磬苑校区,117.192297,31.759387,0
3号线,轨道交通3号线,#00AB4F,工大翡翠湖校区,117.205060,31.765338,0
3号线,轨道交通3号线,#00AB4F,大学城北,117.209853,31.775010,0
3号线,轨道交通3号线,#00AB4F,繁华大道,117.209870,31.781298,0
3号线,轨道交通3号线,#00AB4F,安医大二附院,117.209871,31.790100,0
3号线,轨道交通3号线,#00AB4F,省博物院,117.215537,31.800891,0
3号线,轨道交通3号线,#00AB4F,图书馆,117.215513,31.809104,0
3号线,轨道交通3号线,#00AB4F,合肥大剧院,117.223725,31.814370,0
3号线,轨道交通3号线,#00AB4F,市政务中心,117.231886,31.821749,0
3号线,轨道交通3号线,#00AB4F,洪岗,117.231564,31.832304,0
3号线,轨道交通3号线,#00AB4F,国防科技大学,117.231245,31.840772,0
3号线,轨道交通3号线,#00AB4F,西七里塘,117.230892,31.852496,0
3号线,轨道交通3号线,#00AB4F,南新庄,117.230716,31.861056,0
3号线,轨道交通3号线,#00AB4F,合肥西站,117.236373,31.870558,0
3号线,轨道交通3号线,#00AB4F,杏花村,117.245606,31.880507,0
3号线,轨道交通3号线,#00AB4F,四泉桥,117.256556,31.886585,0
3号线,轨道交通3号线,#00AB4F,郑河,117.267967,31.886763,0
3号线,轨道交通3号线,#00AB4F,海棠,117.278400,31.887649,0
3号线,轨道交通3号线,#00AB4F,一里井,117.287184,31.887032,0
3号线,轨道交通3号线,#00AB4F,淮南路,117.296314,31.887268,0
3号线,轨道交通3号线,#00AB4F,鸭林冲,117.307496,31.888460,0
3号线,轨道交通3号线,#00AB4F,合肥火车站,117.315587,31.883376,0
3号线,轨道交通3号线,#00AB4F,竹丝滩,117.330978,31.885197,0
3号线,轨道交通3号线,#00AB4F,方庙,117.342246,31.884998,0
3号线,轨道交通3号线,#00AB4F,窦桥湾,117.352360,31.885007,0
