line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#CC0000,伊利健康谷,111.575004,40.784834,0
1号线,地铁1号线,#CC0000,西二环路,111.592055,40.794695,0
1号线,地铁1号线,#CC0000,孔家营,111.604646,40.799909,0
1号线,地铁1号线,#CC0000,呼钢南路,111.616787,40.804968,0
1号线,地铁1号线,#CC0000,西龙王庙,111.631969,40.811302,0
1号线,地铁1号线,#CC0000,乌兰夫纪念馆,111.641578,40.815389,0
1号线,地铁1号线,#CC0000,附属医院,111.655512,40.818873,0
1号线,地铁1号线,#CC0000,新华广场,111.667703,40.821503,0
1号线,地铁1号线,#CC0000,人民会堂,111.676241,40.823344,0
1号线,地铁1号线,#CC0000,将军衙署,111.688900,40.826185,0
1号线,地铁1号线,#CC0000,艺术学院,111.699710,40.828903,0
1号线,地铁1号线,#CC0000,东影路,111.708870,40.830989,0
1号线,地铁1号线,#CC0000,内蒙古展览馆,111.720493,40.833566,0
1号线,地铁1号线,#CC0000,内蒙古博物院,111.731866,40.836071,0
1号线,地铁1号线,#CC0000,市政府,111.747265,40.839462,0
1号线,地铁1号线,#CC0000,呼和浩特东站,111.767643,40.847519,0
1号线,地铁1号线,#CC0000,后不塔气,111.781405,40.848302,0
1号线,地铁1号线,#CC0000,什兰岱,111.800674,40.852205,0
1号线,地铁1号线,#CC0000,白塔西,111.811751,40.854772,0
1号线,地铁1号线,#CC0000,坝堰(机场),111.824553,40.857728,0
2号线,轨道交通2号线,#2249A3,塔利东路,111.777149,40.869462,0
2号线,轨道交通2号线,#2249A3,新店,111.765874,40.867358,0
2号线,轨道交通2号线,#2249A3,百合路,111.758645,40.865237,0
2号线,轨道交通2号线,#2249A3,北山公园,111.747192,40.862606,0
2号线,轨道交通2号线,#2249A3,丝绸之路大道,111.732427,40.859053,0
2号线,轨道交通2号线,#2249A3,一家村,111.71858,40.859428,0
2号线,轨道交通2号线,#2249A3,成吉思汗公园,111.704754,40.861566,0
2号线,轨道交通2号线,#2249A3,毫沁营,111.690689,40.859396,0
2号线,轨道交通2号线,#2249A3,成吉思汗广场,111.676287,40.857524,0
2号线,轨道交通2号线,#2249A3,内蒙古体育馆,111.664229,40.855988,0
2号线,轨道交通2号线,#2249A3,呼和浩特体育场,111.65592,40.850474,0
2号线,轨道交通2号线,#2249A3,公主府,111.662245,40.835767,0
2号线,轨道交通2号线,#2249A3,呼和浩特站,111.665677,40.829028,0
2号线,轨道交通2号线,#2249A3,新华广场,111.667703,40.821503,0
2号线,轨道交通2号线,#2249A3,中山路,111.670988,40.815302,0
2号线,轨道交通2号线,#2249A3,大学西街,111.675658,40.806012,0
2号线,轨道交通2号线,#2249A3,诺和木勒,111.679573,40.798548,0
2号线,轨道交通2号线,#2249A3,水上公园,111.681343,40.78639,0
2号线,轨道交通2号线,#2249A3,五里营,111.684912,40.777399,0
2号线,轨道交通2号线,#2249A3,锡林公园,111.68746,40.770883,0
2号线,轨道交通2号线,#2249A3,内大南校区,111.692463,40.759146,0
2号线,轨道交通2号线,#2249A3,帅家营,111.706981,40.755604,0
2号线,轨道交通2号线,#2249A3,喇嘛营,111.731336,40.755684,0
2号线,轨道交通2号线,#2249A3,阿尔山路,111.747816,40.755465,0
