line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#D10195,方特,116.894884,36.682580,0
1号线,轨道交通1号线,#D10195,济南西站,116.893758,36.669486,0
1号线,轨道交通1号线,#D10195,大杨,116.894530,36.651182,0
1号线,轨道交通1号线,#D10195,王府庄,116.881587,36.623802,0
1号线,轨道交通1号线,#D10195,玉符河,116.857649,36.610067,0
1号线,轨道交通1号线,#D10195,赵营,116.834664,36.590704,0
1号线,轨道交通1号线,#D10195,紫薇路,116.810216,36.568575,0
1号线,轨道交通1号线,#D10195,大学城,116.803741,36.552291,0
1号线,轨道交通1号线,#D10195,园博园,116.799960,36.536088,0
1号线,轨道交通1号线,#D10195,创新谷,116.805017,36.510099,0
1号线,轨道交通1号线,#D10195,工研院,116.795194,36.498445,0
2号线,轨道交通2号线,#FFA500,王府庄,116.881587,36.623802,0
2号线,轨道交通2号线,#FFA500,腊山南,116.902058,36.624847,0
2号线,轨道交通2号线,#FFA500,腊山,116.918965,36.652471,0
2号线,轨道交通2号线,#FFA500,二环西路,116.932335,36.663397,0
2号线,轨道交通2号线,#FFA500,老屯,116.95404,36.666121,0
2号线,轨道交通2号线,#FFA500,八里桥,116.962142,36.670251,0
2号线,轨道交通2号线,#FFA500,益康路,116.972487,36.673391,0
2号线,轨道交通2号线,#FFA500,济南站北,116.985296,36.677061,0
2号线,轨道交通2号线,#FFA500,济泺路,116.994501,36.684591,0
2号线,轨道交通2号线,#FFA500,生产路,117.016792,36.684554,0
2号线,轨道交通2号线,#FFA500,北园,117.033849,36.686266,0
2号线,轨道交通2号线,#FFA500,历山路,117.041955,36.688889,0
2号线,轨道交通2号线,#FFA500,七里堡,117.067563,36.690665,0
2号线,轨道交通2号线,#FFA500,祝甸,117.082382,36.697363,0
2号线,轨道交通2号线,#FFA500,八涧堡,117.103395,36.704998,0
2号线,轨道交通2号线,#FFA500,姜家庄,117.127551,36.706385,0
2号线,轨道交通2号线,#FFA500,凤凰路,117.145572,36.708422,0
2号线,轨道交通2号线,#FFA500,鲍山,117.187961,36.709211,0
2号线,轨道交通2号线,#FFA500,彭家庄,117.229862,36.70961,0
3号线,轨道交通3号线,#2249A3,滩头,117.165200,36.766860,0
3号线,轨道交通3号线,#2249A3,济南东站,117.159750,36.747282,0
3号线,轨道交通3号线,#2249A3,裴家营,117.159461,36.734748,0
3号线,轨道交通3号线,#2249A3,王舍人,117.138371,36.720246,0
3号线,轨道交通3号线,#2249A3,张马屯,117.115131,36.718770,0
3号线,轨道交通3号线,#2249A3,八涧堡,117.103395,36.704998,0
3号线,轨道交通3号线,#2249A3,花园东路,117.106489,36.692354,0
3号线,轨道交通3号线,#2249A3,丁家庄,117.109794,36.677647,0
3号线,轨道交通3号线,#2249A3,礼耕路,117.111018,36.668343,0
3号线,轨道交通3号线,#2249A3,奥体中心,117.111364,36.661198,0
3号线,轨道交通3号线,#2249A3,龙奥大厦,117.114436,36.650738,0
3号线,轨道交通3号线,#2249A3,孟家庄,117.120075,36.633326,0
3号线,轨道交通3号线,#2249A3,龙洞,117.117876,36.618222,0
