line,lineName,color,name,lat,lon,loop
S1号线(机场线),地铁S1号线(机场线),#00AD8E,空港新城江宁,118.887659,31.737687,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,禄口机场,118.873640,31.730279,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,翔宇路南,118.829201,31.754866,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,翔宇路北,118.821542,31.791284,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,正方中路,118.805809,31.845115,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,吉印大道,118.795507,31.886166,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,河海大学·佛城西路,118.791365,31.914086,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,翠屏山,118.784514,31.942530,0
S1号线(机场线),地铁S1号线(机场线),#00AD8E,南京南站,118.796786,31.970968,0
1号线,地铁1号线,#01A2E2,中国药科大学,118.914127,31.897684,0
1号线,地铁1号线,#01A2E2,南京交院,118.904804,31.912860,0
1号线,地铁1号线,#01A2E2,南医大·江苏经贸学院,118.890239,31.933475,0
1号线,地铁1号线,#01A2E2,龙眠大道,118.877156,31.939902,0
1号线,地铁1号线,#01A2E2,天印大道,118.863561,31.937638,0
1号线,地铁1号线,#01A2E2,竹山路,118.844454,31.931965,0
1号线,地铁1号线,#01A2E2,小龙湾,118.832624,31.929684,0
1号线,地铁1号线,#01A2E2,百家湖,118.820843,31.931941,0
1号线,地铁1号线,#01A2E2,胜太路,118.821393,31.943549,0
1号线,地铁1号线,#01A2E2,河定桥,118.820141,31.952092,0
1号线,地铁1号线,#01A2E2,双龙大道,118.817196,31.963833,0
1号线,地铁1号线,#01A2E2,南京南站,118.796786,31.970968,0
1号线,地铁1号线,#01A2E2,花神庙,118.785648,31.977795,0
1号线,地铁1号线,#01A2E2,软件大道,118.774583,31.976727,0
1号线,地铁1号线,#01A2E2,天隆寺,118.763146,31.979331,0
1号线,地铁1号线,#01A2E2,安德门,118.762136,31.990862,0
1号线,地铁1号线,#01A2E2,中华门,118.774447,32.006748,0
1号线,地铁1号线,#01A2E2,三山街,118.781583,32.023021,0
1号线,地铁1号线,#01A2E2,张府园,118.783932,32.030963,0
1号线,地铁1号线,#01A2E2,新街口,118.784136,32.041806,0
1号线,地铁1号线,#01A2E2,珠江路,118.784208,32.050974,0
1号线,地铁1号线,#01A2E2,鼓楼,118.783724,32.058958,0
1号线,地铁1号线,#01A2E2,玄武门,118.784141,32.070016,0
1号线,地铁1号线,#01A2E2,新模范马路,118.783738,32.079901,0
1号线,地铁1号线,#01A2E2,南京站,118.796509,32.089322,0
1号线,地铁1号线,#01A2E2,红山动物园,118.802053,32.095774,0
1号线,地铁1号线,#01A2E2,迈皋桥,118.809677,32.102712,0
1号线,地铁1号线,#01A2E2,晓庄,118.819239,32.116838,0
1号线,地铁1号线,#01A2E2,吉祥庵,118.821339,32.126634,0
1号线,地铁1号线,#01A2E2,燕子矶,118.822185,32.135663,0
1号线,地铁1号线,#01A2E2,笆斗山,118.830032,32.143544,0
1号线,地铁1号线,#01A2E2,八卦洲大桥南,118.842255,32.145568,0
2号线,地铁2号线,#C5003E,鱼嘴,118.669413,31.966803,0
