line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#6CB46B,火车东站,108.414091,22.839677,0
1号线,轨道交通1号线,#6CB46B,佛子岭,108.424884,22.831844,0
1号线,轨道交通1号线,#6CB46B,百花岭,108.427946,22.818109,0
1号线,轨道交通1号线,#6CB46B,埌东客运站,108.418641,22.812921,0
1号线,轨道交通1号线,#6CB46B,凤岭,108.410346,22.813119,0
1号线,轨道交通1号线,#6CB46B,东盟商务区,108.399059,22.813064,0
1号线,轨道交通1号线,#6CB46B,万象城,108.392022,22.813041,0
1号线,轨道交通1号线,#6CB46B,会展中心,108.383728,22.812865,0
1号线,轨道交通1号线,#6CB46B,金湖广场,108.372356,22.812895,0
1号线,轨道交通1号线,#6CB46B,南湖,108.363067,22.813671,0
1号线,轨道交通1号线,#6CB46B,麻村,108.347473,22.813014,0
1号线,轨道交通1号线,#6CB46B,民族广场,108.336350,22.813048,0
1号线,轨道交通1号线,#6CB46B,新民路,108.327324,22.813042,0
1号线,轨道交通1号线,#6CB46B,朝阳广场,108.320842,22.817093,0
1号线,轨道交通1号线,#6CB46B,火车站,108.316335,22.824874,0
1号线,轨道交通1号线,#6CB46B,白苍岭,108.307154,22.831070,0
1号线,轨道交通1号线,#6CB46B,广西大学,108.291111,22.831607,0
1号线,轨道交通1号线,#6CB46B,鲁班路,108.283012,22.834074,0
1号线,轨道交通1号线,#6CB46B,动物园,108.267771,22.837805,0
1号线,轨道交通1号线,#6CB46B,清川,108.253119,22.840172,0
1号线,轨道交通1号线,#6CB46B,民族大学,108.233018,22.837229,0
1号线,轨道交通1号线,#6CB46B,西乡塘客运站,108.219156,22.832924,0
1号线,轨道交通1号线,#6CB46B,鹏飞路,108.202283,22.833056,0
1号线,轨道交通1号线,#6CB46B,南职院,108.192244,22.833130,0
1号线,轨道交通1号线,#6CB46B,石埠,108.177596,22.826528,0
2号线,轨道交通2号线,#CC0000,西津,108.298459,22.889270,0
2号线,轨道交通2号线,#CC0000,安吉客运站,108.297843,22.879757,0
2号线,轨道交通2号线,#CC0000,苏卢,108.299553,22.868884,0
2号线,轨道交通2号线,#CC0000,三十三中,108.302241,22.857976,0
2号线,轨道交通2号线,#CC0000,秀厢,108.306686,22.848542,0
2号线,轨道交通2号线,#CC0000,明秀路,108.312746,22.839235,0
2号线,轨道交通2号线,#CC0000,火车站,108.316335,22.824874,0
2号线,轨道交通2号线,#CC0000,朝阳广场,108.320842,22.817093,0
2号线,轨道交通2号线,#CC0000,南宁剧场,108.313648,22.804174,0
2号线,轨道交通2号线,#CC0000,福建园,108.311290,22.794893,0
2号线,轨道交通2号线,#CC0000,亭洪路,108.311402,22.788898,0
2号线,轨道交通2号线,#CC0000,石柱岭,108.311485,22.781518,0
2号线,轨道交通2号线,#CC0000,江南客运站,108.312121,22.766625,0
2号线,轨道交通2号线,#CC0000,大沙田,108.316759,22.760811,0
2号线,轨道交通2号线,#CC0000,建设路,108.318320,22.751820,0
2号线,轨道交通2号线,#CC0000,石子塘,108.324374,22.741181,0
2号线,轨道交通2号线,#CC0000,金象,108.332244,22.731297,0
2号线,轨道交通2号线,#CC0000,玉洞,108.336650,22.722533,0
2号线,轨道交通2号线,#CC0000,东风路,108.352286,22.719540,0
2号线,轨道交通2号线,#CC0000,玉岭路,108.360239,22.721532,0
2号线,轨道交通2号线,#CC0000,那福路,108.373548,22.724965,0
2号线,轨道交通2号线,#CC0000,平良立交,108.383758,22.726373,0
2号线,轨道交通2号线,#CC0000,坛泽,108.393513,22.726328,0
3号线,轨道交通3号线,#96499A,科园大道,108.269300,22.878325,0
3号线,轨道交通3号线,#96499A,创业路,108.283924,22.878842,0
3号线,轨道交通3号线,#96499A,安吉客运站,108.297843,22.879757,0
3号线,轨道交通3号线,#96499A,北湖北路,108.316253,22.875570,0
3号线,轨道交通3号线,#96499A,秀峰路,108.331253,22.878222,0
3号线,轨道交通3号线,#96499A,邕武路,108.340209,22.875565,0
3号线,轨道交通3号线,#96499A,大鸡村,108.350972,22.872549,0
3号线,轨道交通3号线,#96499A,兴桂路,108.356508,22.864507,0
3号线,轨道交通3号线,#96499A,小鸡村,108.356139,22.856240,0
3号线,轨道交通3号线,#96499A,东沟岭,108.354822,22.845337,0
3号线,轨道交通3号线,#96499A,长堽路,108.356054,22.835859,0
3号线,轨道交通3号线,#96499A,东葛路,108.360007,22.830017,0
