line,lineName,color,name,lat,lon,loop
1号线,地铁1号线北段,#FCD600,东郭庄,120.412004,36.334834,0
1号线,地铁1号线北段,#FCD600,沟岔,120.400078,36.327025,0
1号线,地铁1号线北段,#FCD600,农业大学,120.390904,36.315811,0
1号线,地铁1号线北段,#FCD600,正阳中路,120.390723,36.306004,0
1号线,地铁1号线北段,#FCD600,小寨子,120.390192,36.296519,0
1号线,地铁1号线北段,#FCD600,凤岗路,120.386132,36.285973,0
1号线,地铁1号线北段,#FCD600,流亭,120.388616,36.268301,0
1号线,地铁1号线北段,#FCD600,仙家寨(汽车北站),120.393189,36.240025,0
1号线,地铁1号线北段,#FCD600,瑞金路,120.395172,36.227434,0
1号线,地铁1号线北段,#FCD600,遵义路,120.396876,36.214525,0
1号线,地铁1号线北段,#FCD600,南岭,120.399490,36.201327,0
1号线,地铁1号线北段,#FCD600,兴国路,120.401527,36.191035,0
1号线,地铁1号线北段,#FCD600,永年路,120.396039,36.181643,0
1号线,地铁1号线北段,#FCD600,沧安路,120.382098,36.180128,0
1号线,地铁1号线北段,#FCD600,青岛北站,120.377367,36.169798,0
1号线,地铁1号线北段,#FCD600,安顺路,120.375905,36.159048,0
1号线,地铁1号线北段,#FCD600,胜利桥(纺织谷),120.382247,36.148467,0
1号线,地铁1号线北段,#FCD600,中心医院,120.374974,36.141338,0
1号线,地铁1号线北段,#FCD600,水清沟,120.370285,36.127316,0
1号线,地铁1号线北段,#FCD600,北岭,120.361089,36.116323,0
1号线,地铁1号线北段,#FCD600,小村庄,120.360967,36.105470,0
1号线,地铁1号线北段,#FCD600,海泊桥(海慈医疗),120.361391,36.094558,0
1号线,地铁1号线北段,#FCD600,台东,120.354120,36.082200,0
1号线,地铁1号线北段,#FCD600,广饶路,120.342190,36.075425,0
1号线,地铁1号线北段,#FCD600,观象山(市立医院),120.329802,36.073089,0
1号线,地铁1号线北段,#FCD600,中山路,120.321608,36.072149,0
1号线,地铁1号线北段,#FCD600,青岛站,120.314566,36.064191,0
1号线,地铁1号线北段,#FCD600,西镇,120.306328,36.061162,0
1号线,地铁1号线北段,#FCD600,团岛,120.299188,36.057387,0
1号线,地铁1号线北段,#FCD600,凤凰岛,120.293328,35.999539,0
1号线,地铁1号线北段,#FCD600,山里,120.287829,35.986270,0
1号线,地铁1号线北段,#FCD600,南北屯,120.263776,35.977893,0
1号线,地铁1号线北段,#FCD600,新港山路,120.244127,35.973076,0
1号线,地铁1号线北段,#FCD600,安子,120.233599,35.971550,0
1号线,地铁1号线北段,#FCD600,天目山路,120.228052,35.964945,0
1号线,地铁1号线北段,#FCD600,薛家岛,120.219133,35.961575,0
1号线,地铁1号线北段,#FCD600,丁家河,120.200792,35.958302,0
1号线,地铁1号线北段,#FCD600,井冈山路,120.187630,35.953437,0
1号线,地铁1号线北段,#FCD600,太行山路,120.179811,35.950198,0
1号线,地铁1号线北段,#FCD600,石油大学,120.171996,35.945460,0
1号线,地铁1号线北段,#FCD600,王家港,120.162256,35.942329,0
2号线,地铁2号线,#CC0000,李村公园,120.425954,36.167794,0
2号线,地铁2号线,#CC0000,李村,120.424747,36.159067,0
2号线,地铁2号线,#CC0000,枣山路,120.433459,36.153862,0
2号线,地铁2号线,#CC0000,华楼山路,120.439516,36.149334,0
2号线,地铁2号线,#CC0000,东韩,120.441927,36.128291,0
2号线,地铁2号线,#CC0000,辽阳东路,120.450250,36.117494,0
2号线,地铁2号线,#CC0000,同安路,120.455361,36.111315,0
2号线,地铁2号线,#CC0000,苗岭路,120.464784,36.100457,0
2号线,地铁2号线,#CC0000,石老人浴场,120.464463,36.093228,0
2号线,地铁2号线,#CC0000,海安路,120.450859,36.085683,0
2号线,地铁2号线,#CC0000,海川路,120.443405,36.076445,0
2号线,地铁2号线,#CC0000,海游路,120.434638,36.071724,0
2号线,地铁2号线,#CC0000,麦岛,120.423198,36.066093,0
2号线,地铁2号线,#CC0000,高雄路,120.410706,36.066133,0
2号线,地铁2号线,#CC0000,燕儿岛路,120.401596,36.064963,0
2号线,地铁2号线,#CC0000,浮山所,120.390666,36.065735,0
2号线,地铁2号线,#CC0000,五四广场,120.380343,36.064750,0
2号线,地铁2号线,#CC0000,芝泉路,120.368590,36.069496,0
2号线,地铁2号线,#CC0000,海信桥,120.363368,36.075828,0
2号线,地铁2号线,#CC0000,台东,120.354120,36.082200,0
2号线,地铁2号线,#CC0000,利津路,120.346366,36.082639,0
2号线,地铁2号线,#CC0000,泰山路,120.333434,36.082818,0
3号线,地铁3号线,#0065B3,青岛北站,120.377367,36.169798,0
3号线,地铁3号线,#0065B3,永平路,120.393108,36.172198,0
3号线,地铁3号线,#0065B3,振华路,120.405921,36.169204,0
3号线,地铁3号线,#0065B3,君峰路,120.414861,36.164622,0
3号线,地铁3号线,#0065B3,李村,120.424747,36.159067,0
3号线,地铁3号线,#0065B3,万年泉路,120.427661,36.148605,0
3号线,地铁3号线,#0065B3,海尔路,120.423208,36.137111,0
3号线,地铁3号线,#0065B3,地铁大厦,120.414359,36.130893,0
3号线,地铁3号线,#0065B3,长沙路,120.403261,36.120809,0
3号线,地铁3号线,#0065B3,双山,120.397406,36.114280,0
3号线,地铁3号线,#0065B3,清江路,120.387296,36.106869,0
3号线,地铁3号线,#0065B3,错埠岭,120.385383,36.095896,0
3号线,地铁3号线,#0065B3,敦化路,120.385321,36.088765,0
3号线,地铁3号线,#0065B3,宁夏路,120.385691,36.081741,0
3号线,地铁3号线,#0065B3,江西路,120.388271,36.073635,0
3号线,地铁3号线,#0065B3,五四广场,120.380343,36.064750,0
3号线,地铁3号线,#0065B3,延安三路,120.373767,36.060740,0
3号线,地铁3号线,#0065B3,太平角公园,120.359654,36.053773,0
3号线,地铁3号线,#0065B3,中山公园,120.351805,36.058342,0
3号线,地铁3号线,#0065B3,汇泉广场,120.343300,36.059678,0
3号线,地铁3号线,#0065B3,人民会堂,120.329579,36.059871,0
3号线,地铁3号线,#0065B3,青岛站,120.314566,36.064191,0
4号线,地铁4号线,#018237,人民会堂,120.329579,36.059871,0
4号线,地铁4号线,#018237,信号山(青大附院),120.327690,36.065641,0
4号线,地铁4号线,#018237,观象山(市立医院),120.329802,36.073089,0
4号线,地铁4号线,#018237,泰山路,120.333434,36.082818,0
4号线,地铁4号线,#018237,昌乐路,120.343407,36.086601,0
4号线,地铁4号线,#018237,海泊河公园,120.351285,36.096556,0
4号线,地铁4号线,#018237,海泊桥(海慈医疗),120.361391,36.094558,0
4号线,地铁4号线,#018237,西吴家村,120.371842,36.095205,0
4号线,地铁4号线,#018237,错埠岭,120.385383,36.095896,0
4号线,地铁4号线,#018237,福辽立交桥,120.395601,36.096339,0
4号线,地铁4号线,#018237,洪山坡(妇儿医院),120.403169,36.099165,0
4号线,地铁4号线,#018237,劲松三路,120.416370,36.105110,0
4号线,地铁4号线,#018237,埠西,120.425463,36.106268,0
4号线,地铁4号线,#018237,大埠东,120.436536,36.111578,0
4号线,地铁4号线,#018237,辽阳东路,120.450250,36.117494,0
4号线,地铁4号线,#018237,董家下庄,120.461546,36.125744,0
4号线,地铁4号线,#018237,科苑经七路,120.466570,36.135277,0
4号线,地铁4号线,#018237,张村,120.485492,36.141194,0
4号线,地铁4号线,#018237,彭家庄,120.501989,36.136495,0
4号线,地铁4号线,#018237,南宅科,120.521436,36.131015,0
4号线,地铁4号线,#018237,小崂山,120.532597,36.122696,0
4号线,地铁4号线,#018237,沙子口,120.544262,36.118575,0
4号线,地铁4号线,#018237,段家埠,120.555723,36.124311,0
4号线,地铁4号线,#018237,登瀛,120.574385,36.133254,0
4号线,地铁4号线,#018237,大河东,120.585956,36.131374,0
8号线,地铁8号线北段,#D10195,胶州北站,120.054984,36.395171,0
8号线,地铁8号线北段,#D10195,胶东机场,120.095157,36.359524,0
8号线,地铁8号线北段,#D10195,胶东,120.117612,36.313674,0
8号线,地铁8号线北段,#D10195,大涧,120.161375,36.258791,0
8号线,地铁8号线北段,#D10195,红岛火车站,120.190880,36.248873,0
8号线,地铁8号线北段,#D10195,健康中心,120.199717,36.230920,0
8号线,地铁8号线北段,#D10195,健身中心(红岛会展),120.215413,36.233597,0
8号线,地铁8号线北段,#D10195,观涛,120.244075,36.208281,0
8号线,地铁8号线北段,#D10195,红岛科技馆(方特),120.272952,36.200805,0
8号线,地铁8号线北段,#D10195,大洋,120.288786,36.193053,0
8号线,地铁8号线北段,#D10195,青岛北站,120.377367,36.169798,0
11号线,地铁11号线,#2249A3,苗岭路,120.464784,36.100457,0
11号线,地铁11号线,#2249A3,会展中心,120.474085,36.102954,0
11号线,地铁11号线,#2249A3,青岛二中,120.480684,36.110488,0
11号线,地铁11号线,#2249A3,青岛科大,120.485288,36.124174,0
11号线,地铁11号线,#2249A3,张村,120.485492,36.141194,0
11号线,地铁11号线,#2249A3,枯桃,120.487154,36.148082,0
11号线,地铁11号线,#2249A3,海洋大学,120.494775,36.165108,0
11号线,地铁11号线,#2249A3,世博园,120.511371,36.185499,0
11号线,地铁11号线,#2249A3,北宅,120.534690,36.213787,0
11号线,地铁11号线,#2249A3,北九水,120.558835,36.238526,0
11号线,地铁11号线,#2249A3,庙石,120.606377,36.284339,0
11号线,地铁11号线,#2249A3,浦里,120.628101,36.306308,0
11号线,地铁11号线,#2249A3,鳌山卫,120.660868,36.348990,0
11号线,地铁11号线,#2249A3,山东大学,120.678584,36.368994,0
11号线,地铁11号线,#2249A3,蓝色硅谷,120.679277,36.385219,0
11号线,地铁11号线,#2249A3,水泊,120.679767,36.405207,0
11号线,地铁11号线,#2249A3,博览中心,120.704481,36.421087,0
11号线,地铁11号线,#2249A3,温泉东,120.702905,36.444221,0
11号线,地铁11号线,#2249A3,皋虞,120.710804,36.464104,0
11号线,地铁11号线,#2249A3,臧村,120.732520,36.468003,0
11号线,地铁11号线,#2249A3,钱谷山,120.760354,36.479099,0
13号线,地铁13号线,#00AD8E,嘉陵江西路,120.178791,35.975156,0
13号线,地铁13号线,#00AD8E,香江路,120.186382,35.966405,0
13号线,地铁13号线,#00AD8E,井冈山路,120.187630,35.953437,0
13号线,地铁13号线,#00AD8E,积米崖,120.165212,35.930853,0
13号线,地铁13号线,#00AD8E,灵山卫,120.138472,35.925760,0
13号线,地铁13号线,#00AD8E,学院路,120.118895,35.919512,0
13号线,地铁13号线,#00AD8E,朝阳山,120.101950,35.908319,0
13号线,地铁13号线,#00AD8E,辛屯(灵山湾),120.087449,35.899842,0
13号线,地铁13号线,#00AD8E,两河,120.066772,35.894161,0
13号线,地铁13号线,#00AD8E,隐珠,120.034854,35.892216,0
13号线,地铁13号线,#00AD8E,凤凰山路,120.022689,35.890085,0
13号线,地铁13号线,#00AD8E,双珠路,120.016561,35.871423,0
13号线,地铁13号线,#00AD8E,世纪大道,120.002406,35.849688,0
13号线,地铁13号线,#00AD8E,盛海路(世博城),120.002987,35.827597,0
13号线,地铁13号线,#00AD8E,大珠山,119.989209,35.815786,0
13号线,地铁13号线,#00AD8E,张家楼,119.926292,35.793926,0
13号线,地铁13号线,#00AD8E,古镇口,119.893752,35.750828,0
13号线,地铁13号线,#00AD8E,龙湾,119.902138,35.690119,0
13号线,地铁13号线,#00AD8E,琅琊,119.875127,35.670802,0
13号线,地铁13号线,#00AD8E,贡口湾,119.837421,35.676627,0
13号线,地铁13号线,#00AD8E,董家口港,119.797359,35.685106,0
13号线,地铁13号线,#00AD8E,泊里,119.767181,35.687125,0
13号线,地铁13号线,#00AD8E,董家口火车站,119.715850,35.675590,0
