line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#FC0601,黎明广场,123.504308,41.808120,0
1号线,地铁1号线,#FC0601,滂江街,123.488594,41.808405,0
1号线,地铁1号线,#FC0601,东中街,123.470596,41.802831,0
1号线,地铁1号线,#FC0601,中街,123.461001,41.801344,0
1号线,地铁1号线,#FC0601,怀远门,123.447255,41.796947,0
1号线,地铁1号线,#FC0601,青年大街,123.432863,41.792236,0
1号线,地铁1号线,#FC0601,南市场,123.419906,41.789396,0
1号线,地铁1号线,#FC0601,太原街,123.406455,41.789655,0
1号线,地铁1号线,#FC0601,沈阳站,123.396798,41.793772,0
1号线,地铁1号线,#FC0601,云峰北街,123.380560,41.796570,0
1号线,地铁1号线,#FC0601,铁西广场,123.370666,41.794160,0
1号线,地铁1号线,#FC0601,保工街,123.356113,41.800291,0
1号线,地铁1号线,#FC0601,启工街,123.343559,41.803726,0
1号线,地铁1号线,#FC0601,重工街,123.331973,41.805072,0
1号线,地铁1号线,#FC0601,迎宾路,123.309668,41.801583,0
1号线,地铁1号线,#FC0601,于洪广场,123.305686,41.794186,0
1号线,地铁1号线,#FC0601,开发大道,123.305135,41.781118,0
1号线,地铁1号线,#FC0601,张士,123.294099,41.771936,0
1号线,地铁1号线,#FC0601,四号街,123.277277,41.766026,0
1号线,地铁1号线,#FC0601,七号街,123.259340,41.765381,0
1号线,地铁1号线,#FC0601,中央大街,123.242537,41.765395,0
1号线,地铁1号线,#FC0601,十三号街,123.230509,41.765462,0
2号线,地铁2号线,#EE782E,蒲田路,123.405529,41.956447,0
2号线,地铁2号线,#EE782E,蒲河路,123.408584,41.946825,0
2号线,地铁2号线,#EE782E,人杰湖公园,123.398316,41.936610,0
2号线,地铁2号线,#EE782E,辽宁大学,123.393711,41.929389,0
2号线,地铁2号线,#EE782E,航空航天大学,123.403080,41.917793,0
2号线,地铁2号线,#EE782E,师范大学,123.409145,41.907692,0
2号线,地铁2号线,#EE782E,医学院,123.415607,41.886400,0
2号线,地铁2号线,#EE782E,三台子,123.417133,41.868337,0
2号线,地铁2号线,#EE782E,陵西,123.418239,41.855421,0
2号线,地铁2号线,#EE782E,新乐遗址,123.418892,41.847476,0
2号线,地铁2号线,#EE782E,北陵公园,123.424240,41.839395,0
2号线,地铁2号线,#EE782E,中医药大学,123.429060,41.833626,0
2号线,地铁2号线,#EE782E,岐山路,123.429258,41.822728,0
2号线,地铁2号线,#EE782E,沈阳北站,123.435977,41.817355,0
2号线,地铁2号线,#EE782E,金融中心,123.438257,41.811745,0
2号线,地铁2号线,#EE782E,市府广场,123.434229,41.804497,0
2号线,地铁2号线,#EE782E,青年大街,123.432863,41.792236,0
2号线,地铁2号线,#EE782E,青年公园,123.435871,41.784718,0
2号线,地铁2号线,#EE782E,工业展览馆,123.435319,41.773193,0
2号线,地铁2号线,#EE782E,市图书馆,123.435895,41.760047,0
2号线,地铁2号线,#EE782E,五里河,123.441016,41.753209,0
