line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#CC0000,西王,114.408462,38.040220,0
1号线,轨道交通1号线,#CC0000,时光街,114.423117,38.040693,0
1号线,轨道交通1号线,#CC0000,长城桥,114.437003,38.041354,0
1号线,轨道交通1号线,#CC0000,和平医院,114.452108,38.042077,0
1号线,轨道交通1号线,#CC0000,烈士陵园,114.465157,38.042683,0
1号线,轨道交通1号线,#CC0000,新百广场,114.477386,38.043255,0
1号线,轨道交通1号线,#CC0000,解放广场,114.486982,38.043385,0
1号线,轨道交通1号线,#CC0000,平安大街,114.501446,38.043511,0
1号线,轨道交通1号线,#CC0000,北国商城,114.512393,38.043149,0
1号线,轨道交通1号线,#CC0000,博物院,114.522609,38.042936,0
1号线,轨道交通1号线,#CC0000,体育场,114.532763,38.043126,0
1号线,轨道交通1号线,#CC0000,北宋,114.545798,38.043398,0
1号线,轨道交通1号线,#CC0000,谈固,114.562054,38.043683,0
1号线,轨道交通1号线,#CC0000,朝晖桥,114.576621,38.043953,0
1号线,轨道交通1号线,#CC0000,白佛,114.585749,38.044146,0
1号线,轨道交通1号线,#CC0000,留村,114.608596,38.037550,0
1号线,轨道交通1号线,#CC0000,火炬广场,114.623089,38.037760,0
1号线,轨道交通1号线,#CC0000,石家庄东站,114.629189,38.048913,0
1号线,轨道交通1号线,#CC0000,南村,114.628722,38.059589,0
1号线,轨道交通1号线,#CC0000,洨河大道,114.628373,38.068843,0
1号线,轨道交通1号线,#CC0000,西庄,114.628008,38.081138,0
1号线,轨道交通1号线,#CC0000,东庄,114.627420,38.093894,0
1号线,轨道交通1号线,#CC0000,会展中心,114.614815,38.123483,0
1号线,轨道交通1号线,#CC0000,商务中心,114.620809,38.132401,0
1号线,轨道交通1号线,#CC0000,园博园,114.621014,38.144137,0
1号线,轨道交通1号线,#CC0000,福泽,114.621095,38.153867,0
2号线,轨道交通2号线,#FCD600,柳辛庄,114.521323,38.091316,0
2号线,轨道交通2号线,#FCD600,庄窠·铁道大学,114.517744,38.084853,0
2号线,轨道交通2号线,#FCD600,义堂,114.511729,38.072990,0
2号线,轨道交通2号线,#FCD600,建和桥,114.511699,38.059268,0
2号线,轨道交通2号线,#FCD600,长安公园,114.511798,38.050006,0
2号线,轨道交通2号线,#FCD600,北国商城,114.512393,38.043149,0
2号线,轨道交通2号线,#FCD600,裕华路,114.511940,38.035603,0
2号线,轨道交通2号线,#FCD600,槐中路,114.512099,38.028581,0
2号线,轨道交通2号线,#FCD600,欧韵公园,114.510745,38.019137,0
2号线,轨道交通2号线,#FCD600,元村,114.500815,38.015512,0
2号线,轨道交通2号线,#FCD600,石家庄站,114.486628,38.010003,0
2号线,轨道交通2号线,#FCD600,塔坛,114.492659,37.999878,0
2号线,轨道交通2号线,#FCD600,仓丰路留村,114.494406,37.991832,0
2号线,轨道交通2号线,#FCD600,南位,114.496836,37.982560,0
2号线,轨道交通2号线,#FCD600,嘉华路,114.498338,37.974171,0
3号线,轨道交通3号线,#52A8C9,西三庄,114.448258,38.079394,0
3号线,轨道交通3号线,#52A8C9,高柱,114.463251,38.079132,0
3号线,轨道交通3号线,#52A8C9,柏林庄,114.478496,38.075354,0
3号线,轨道交通3号线,#52A8C9,市庄,114.477588,38.063685,0
3号线,轨道交通3号线,#52A8C9,市二中,114.477287,38.052736,0
3号线,轨道交通3号线,#52A8C9,新百广场,114.477386,38.043255,0
3号线,轨道交通3号线,#52A8C9,东里,114.477331,38.036814,0
3号线,轨道交通3号线,#52A8C9,槐安桥,114.477344,38.027802,0
3号线,轨道交通3号线,#52A8C9,西三教,114.477393,38.016800,0
3号线,轨道交通3号线,#52A8C9,石家庄站,114.486628,38.010003,0
3号线,轨道交通3号线,#52A8C9,汇通路,114.501039,38.010348,0
3号线,轨道交通3号线,#52A8C9,孙村,114.512789,38.010111,0
3号线,轨道交通3号线,#52A8C9,塔冢,114.523917,38.010313,0
3号线,轨道交通3号线,#52A8C9,东王,114.534022,38.010475,0
3号线,轨道交通3号线,#52A8C9,南王,114.546668,38.010701,0
3号线,轨道交通3号线,#52A8C9,位同,114.563286,38.011054,0
3号线,轨道交通3号线,#52A8C9,东二环南路,114.577987,38.011358,0
3号线,轨道交通3号线,#52A8C9,西仰陵,114.594050,38.008522,0
3号线,轨道交通3号线,#52A8C9,中仰陵,114.609372,38.008749,0
3号线,轨道交通3号线,#52A8C9,南豆,114.620357,38.008945,0
3号线,轨道交通3号线,#52A8C9,太行南大街,114.637591,38.009301,0
3号线,轨道交通3号线,#52A8C9,乐乡,114.659288,38.008520,0
