line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#00AB4F,木渎,120.518128,31.274974,0
1号线,轨道交通1号线,#00AB4F,金枫路,120.529572,31.276492,0
1号线,轨道交通1号线,#00AB4F,汾湖路,120.541830,31.278047,0
1号线,轨道交通1号线,#00AB4F,玉山路,120.549468,31.283409,0
1号线,轨道交通1号线,#00AB4F,狮子山,120.548762,31.293819,0
1号线,轨道交通1号线,#00AB4F,塔园路,120.556692,31.299963,0
1号线,轨道交通1号线,#00AB4F,滨河路,120.566119,31.300779,0
1号线,轨道交通1号线,#00AB4F,西环路,120.577161,31.301539,0
1号线,轨道交通1号线,#00AB4F,桐泾北路,120.591203,31.302984,0
1号线,轨道交通1号线,#00AB4F,广济南路,120.601066,31.304529,0
1号线,轨道交通1号线,#00AB4F,养育巷,120.614052,31.305140,0
1号线,轨道交通1号线,#00AB4F,乐桥,120.622529,31.305505,0
1号线,轨道交通1号线,#00AB4F,临顿路,120.630633,31.307982,0
1号线,轨道交通1号线,#00AB4F,相门,120.638847,31.309803,0
1号线,轨道交通1号线,#00AB4F,东环路,120.649874,31.312254,0
1号线,轨道交通1号线,#00AB4F,中央公园,120.659938,31.313768,0
1号线,轨道交通1号线,#00AB4F,星海广场,120.670812,31.315499,0
1号线,轨道交通1号线,#00AB4F,东方之门,120.678894,31.316815,0
1号线,轨道交通1号线,#00AB4F,文化博览中心,120.704346,31.323217,0
1号线,轨道交通1号线,#00AB4F,时代广场,120.713181,31.322437,0
1号线,轨道交通1号线,#00AB4F,星湖街,120.720431,31.323183,0
1号线,轨道交通1号线,#00AB4F,南施街,120.733132,31.324493,0
1号线,轨道交通1号线,#00AB4F,星塘街,120.744297,31.325644,0
1号线,轨道交通1号线,#00AB4F,钟南街,120.756226,31.326506,0
2号线,轨道交通2号线,#FC0601,骑河,120.655018,31.437447,0
2号线,轨道交通2号线,#FC0601,富翔路,120.651223,31.430051,0
2号线,轨道交通2号线,#FC0601,高铁苏州北站,120.645008,31.421767,0
2号线,轨道交通2号线,#FC0601,大湾,120.633174,31.416501,0
2号线,轨道交通2号线,#FC0601,富元路,120.624914,31.403520,0
