line,lineName,color,name,lat,lon,loop
2号线,轨道交通2号线,#CC0000,尖草坪,112.562913,37.915707,0
2号线,轨道交通2号线,#CC0000,涧河,112.563217,37.905658,0
2号线,轨道交通2号线,#CC0000,胜利街,112.562248,37.897381,0
2号线,轨道交通2号线,#CC0000,大北门,112.562027,37.888139,0
2号线,轨道交通2号线,#CC0000,缉虎营,112.561862,37.878814,0
2号线,轨道交通2号线,#CC0000,府西街,112.560994,37.872117,0
2号线,轨道交通2号线,#CC0000,开化寺街,112.560152,37.865063,0
2号线,轨道交通2号线,#CC0000,大南门,112.559463,37.859312,0
2号线,轨道交通2号线,#CC0000,体育馆,112.561056,37.845739,0
2号线,轨道交通2号线,#CC0000,南内环,112.561326,37.836246,0
2号线,轨道交通2号线,#CC0000,王村南街,112.561566,37.830465,0
2号线,轨道交通2号线,#CC0000,长风街,112.561810,37.816785,0
2号线,轨道交通2号线,#CC0000,学府街,112.561838,37.806381,0
2号线,轨道交通2号线,#CC0000,南中环,112.561815,37.794280,0
2号线,轨道交通2号线,#CC0000,晋阳街,112.561808,37.788452,0
2号线,轨道交通2号线,#CC0000,龙兴街,112.561520,37.781640,0
2号线,轨道交通2号线,#CC0000,龙城公园,112.561192,37.773671,0
2号线,轨道交通2号线,#CC0000,嘉节,112.562221,37.764108,0
2号线,轨道交通2号线,#CC0000,电子西街,112.564902,37.752275,0
2号线,轨道交通2号线,#CC0000,康宁街,112.567439,37.742873,0
2号线,轨道交通2号线,#CC0000,通达街,112.568565,37.730298,0
2号线,轨道交通2号线,#CC0000,化章西街,112.567916,37.717869,0
2号线,轨道交通2号线,#CC0000,西桥,112.562839,37.707969,0
