line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#CC0000,刘园,117.115904,39.207953,0
1号线,地铁1号线,#CC0000,瑞景新苑,117.121860,39.200203,0
1号线,地铁1号线,#CC0000,佳园里,117.128158,39.191974,0
1号线,地铁1号线,#CC0000,本溪路,117.139463,39.185432,0
1号线,地铁1号线,#CC0000,勤俭道,117.153675,39.178342,0
1号线,地铁1号线,#CC0000,洪湖里,117.161912,39.170889,0
1号线,地铁1号线,#CC0000,西站,117.166791,39.156971,0
1号线,地铁1号线,#CC0000,西北角,117.171661,39.146568,0
1号线,地铁1号线,#CC0000,西南角,117.171996,39.137364,0
1号线,地铁1号线,#CC0000,二纬路,117.174737,39.130318,0
1号线,地铁1号线,#CC0000,海光寺,117.177534,39.122349,0
1号线,地铁1号线,#CC0000,鞍山道,117.187336,39.120355,0
1号线,地铁1号线,#CC0000,营口道,117.197685,39.118628,0
1号线,地铁1号线,#CC0000,小白楼,117.215406,39.114911,0
1号线,地铁1号线,#CC0000,下瓦房,117.222893,39.105200,0
1号线,地铁1号线,#CC0000,南楼,117.223877,39.095998,0
1号线,地铁1号线,#CC0000,土城,117.232283,39.089216,0
1号线,地铁1号线,#CC0000,陈塘庄,117.248489,39.083497,0
1号线,地铁1号线,#CC0000,复兴门,117.260182,39.077205,0
1号线,地铁1号线,#CC0000,华山里,117.261895,39.066160,0
1号线,地铁1号线,#CC0000,财经大学,117.276919,39.063938,0
1号线,地铁1号线,#CC0000,双林,117.292143,39.057365,0
1号线,地铁1号线,#CC0000,李楼,117.317171,39.054449,0
1号线,地铁1号线,#CC0000,洪泥河东,117.344889,39.047609,0
1号线,地铁1号线,#CC0000,高庄子,117.360797,39.043101,0
1号线,地铁1号线,#CC0000,国家会展中心,117.383988,39.028975,0
1号线,地铁1号线,#CC0000,国瑞路,117.390747,39.021933,0
1号线,地铁1号线,#CC0000,东沽路,117.408398,39.012409,0
2号线,地铁2号线,#FCD600,滨海国际机场,117.362628,39.132116,0
2号线,地铁2号线,#FCD600,空港经济区,117.335,39.1577,0
2号线,地铁2号线,#FCD600,国山路,117.31,39.1541,0
2号线,地铁2号线,#FCD600,登州路,117.296,39.1505,0
2号线,地铁2号线,#FCD600,屿东城,117.279840,39.147214,0
2号线,地铁2号线,#FCD600,翠阜新村,117.258,39.144,0
2号线,地铁2号线,#FCD600,靖江路,117.244243,39.142520,0
2号线,地铁2号线,#FCD600,顺驰桥,117.234,39.1414,0
2号线,地铁2号线,#FCD600,远洋国际中心,117.221,39.1365,0
2号线,地铁2号线,#FCD600,天津站,117.211693,39.137783,0
2号线,地铁2号线,#FCD600,建国道,117.201,39.139,0
2号线,地铁2号线,#FCD600,东南角,117.190293,39.136881,0
2号线,地铁2号线,#FCD600,鼓楼,117.181228,39.137127,0
2号线,地铁2号线,#FCD600,西南角,117.171996,39.137364,0
2号线,地铁2号线,#FCD600,广开四马路,117.162,39.1377,0
2号线,地铁2号线,#FCD600,长虹公园,117.149444,39.137806,0
2号线,地铁2号线,#FCD600,咸阳路,117.135,39.1378,0
2号线,地铁2号线,#FCD600,芥园西道,117.12,39.1427,0
2号线,地铁2号线,#FCD600,卞兴,117.109,39.1462,0
2号线,地铁2号线,#FCD600,曹庄,117.090954,39.145700,0
3号线,地铁3号线,#019AC3,小淀,117.257642,39.239186,0
3号线,地铁3号线,#019AC3,丰产河,117.236020,39.238160,0
3号线,地铁3号线,#019AC3,华北集团,117.228,39.2276,0
3号线,地铁3号线,#019AC3,天士力,117.215,39.2059,0
3号线,地铁3号线,#019AC3,宜兴埠,117.219,39.1976,0
3号线,地铁3号线,#019AC3,张兴庄,117.214820,39.191928,0
