line,lineName,color,name,lat,lon,loop
S1线,轨道交通S1线,#027CFF,桐岭,120.568805,27.920867,0
S1线,轨道交通S1线,#027CFF,潘桥,120.573846,27.940693,0
S1线,轨道交通S1线,#027CFF,动车南站,120.583876,27.967010,0
S1线,轨道交通S1线,#027CFF,新桥,120.627580,27.977400,0
S1线,轨道交通S1线,#027CFF,德政,120.649951,27.975830,0
S1线,轨道交通S1线,#027CFF,龙霞路,120.669738,27.979224,0
S1线,轨道交通S1线,#027CFF,惠民路,120.696902,27.979537,0
S1线,轨道交通S1线,#027CFF,三垟湿地,120.713926,27.972968,0
S1线,轨道交通S1线,#027CFF,龙腾路,120.762868,27.958609,0
S1线,轨道交通S1线,#027CFF,科技城,120.784375,27.954633,0
S1线,轨道交通S1线,#027CFF,瑶溪,120.783059,27.930458,0
S1线,轨道交通S1线,#027CFF,奥体中心,120.810919,27.915521,0
S1线,轨道交通S1线,#027CFF,永中,120.827978,27.908405,0
S1线,轨道交通S1线,#027CFF,机场,120.846807,27.905863,0
S1线,轨道交通S1线,#027CFF,灵昆,120.892042,27.953130,0
S1线,轨道交通S1线,#027CFF,瓯江口,120.919902,27.940369,0
S1线,轨道交通S1线,#027CFF,瓯华,120.934880,27.930516,0
S1线,轨道交通S1线,#027CFF,双瓯大道,120.950857,27.919864,0
S2线,轨道交通S2线,#E3002A,清东路,121.002965,28.129175,0
S2线,轨道交通S2线,#E3002A,旭阳路,120.986265,28.108481,0
S2线,轨道交通S2线,#E3002A,万岙,120.967916,28.087851,0
S2线,轨道交通S2线,#E3002A,盐盆,120.974105,28.064024,0
S2线,轨道交通S2线,#E3002A,新望,120.978681,28.038832,0
S2线,轨道交通S2线,#E3002A,翁垟,120.979625,28.019170,0
S2线,轨道交通S2线,#E3002A,柳市东,120.955187,27.992069,0
S2线,轨道交通S2线,#E3002A,灵昆,120.892042,27.953130,0
S2线,轨道交通S2线,#E3002A,机场,120.846807,27.905863,0
S2线,轨道交通S2线,#E3002A,永兴,120.823165,27.887294,0
S2线,轨道交通S2线,#E3002A,沙城,120.807321,27.871031,0
S2线,轨道交通S2线,#E3002A,天河,120.792039,27.848162,0
S2线,轨道交通S2线,#E3002A,海城,120.778422,27.826441,0
S2线,轨道交通S2线,#E3002A,鲍田,120.735401,27.809023,0
S2线,轨道交通S2线,#E3002A,大典下,120.719387,27.792034,0
S2线,轨道交通S2线,#E3002A,汀田,120.709578,27.782967,0
S2线,轨道交通S2线,#E3002A,莘塍,120.695308,27.769109,0
S2线,轨道交通S2线,#E3002A,上望,120.683418,27.757512,0
S2线,轨道交通S2线,#E3002A,上东路,120.671870,27.755136,0
S2线,轨道交通S2线,#E3002A,东山,120.654954,27.753130,0
