line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#3080B7,汉口北,114.329481,30.711953,0
1号线,轨道交通1号线,#3080B7,滠口新城,114.342372,30.684553,0
1号线,轨道交通1号线,#3080B7,滕子岗,114.341474,30.674527,0
1号线,轨道交通1号线,#3080B7,堤角,114.338273,30.665863,0
1号线,轨道交通1号线,#3080B7,新荣,114.332763,30.657595,0
1号线,轨道交通1号线,#3080B7,丹水池,114.330017,30.643386,0
1号线,轨道交通1号线,#3080B7,徐州新村,114.322936,30.631171,0
1号线,轨道交通1号线,#3080B7,二七路,114.318749,30.625032,0
1号线,轨道交通1号线,#3080B7,头道街,114.313923,30.617818,0
1号线,轨道交通1号线,#3080B7,黄浦路,114.308156,30.608404,0
1号线,轨道交通1号线,#3080B7,三阳路,114.301348,30.598718,0
1号线,轨道交通1号线,#3080B7,大智路,114.295038,30.592581,0
1号线,轨道交通1号线,#3080B7,循礼门,114.285992,30.585234,0
1号线,轨道交通1号线,#3080B7,友谊路,114.278415,30.580865,0
1号线,轨道交通1号线,#3080B7,利济北路,114.270119,30.577433,0
1号线,轨道交通1号线,#3080B7,崇仁路,114.261901,30.573909,0
1号线,轨道交通1号线,#3080B7,硚口路,114.250444,30.571547,0
1号线,轨道交通1号线,#3080B7,太平洋,114.240741,30.574025,0
1号线,轨道交通1号线,#3080B7,宗关,114.224975,30.580306,0
1号线,轨道交通1号线,#3080B7,汉西一路,114.218822,30.585491,0
1号线,轨道交通1号线,#3080B7,古田四路,114.211532,30.589347,0
1号线,轨道交通1号线,#3080B7,古田三路,114.204740,30.593382,0
1号线,轨道交通1号线,#3080B7,古田二路,114.196667,30.597536,0
1号线,轨道交通1号线,#3080B7,古田一路,114.183062,30.604521,0
1号线,轨道交通1号线,#3080B7,舵落口,114.169464,30.609907,0
1号线,轨道交通1号线,#3080B7,竹叶海,114.163868,30.615064,0
1号线,轨道交通1号线,#3080B7,额头湾,114.155941,30.618460,0
1号线,轨道交通1号线,#3080B7,五环大道,114.138907,30.617699,0
1号线,轨道交通1号线,#3080B7,东吴大道,114.128567,30.624968,0
1号线,轨道交通1号线,#3080B7,码头潭公园,114.123644,30.631684,0
1号线,轨道交通1号线,#3080B7,三店,114.120804,30.649056,0
1号线,轨道交通1号线,#3080B7,径河,114.120828,30.659055,0
2号线,轨道交通2号线,#EB81B9,佛祖岭,114.439777,30.438671,0
2号线,轨道交通2号线,#EB81B9,藏龙东街,114.429655,30.437026,0
2号线,轨道交通2号线,#EB81B9,秀湖,114.421034,30.447747,0
2号线,轨道交通2号线,#EB81B9,金融港北,114.420416,30.461963,0
2号线,轨道交通2号线,#EB81B9,黄龙山路,114.429936,30.477465,0
2号线,轨道交通2号线,#EB81B9,武汉东站,114.431755,30.486956,0
2号线,轨道交通2号线,#EB81B9,佳园路,114.430905,30.500021,0
2号线,轨道交通2号线,#EB81B9,光谷大道,114.423817,30.506535,0
2号线,轨道交通2号线,#EB81B9,华中科技大学,114.414237,30.507410,0
2号线,轨道交通2号线,#EB81B9,珞雄路,114.404837,30.506941,0
2号线,轨道交通2号线,#EB81B9,光谷广场,114.397169,30.505760,0
2号线,轨道交通2号线,#EB81B9,杨家湾,114.382732,30.505122,0
2号线,轨道交通2号线,#EB81B9,虎泉,114.370478,30.512359,0
2号线,轨道交通2号线,#EB81B9,广埠屯,114.364207,30.522437,0
2号线,轨道交通2号线,#EB81B9,街道口,114.353503,30.526597,0
2号线,轨道交通2号线,#EB81B9,宝通寺,114.341206,30.530349,0
2号线,轨道交通2号线,#EB81B9,中南路,114.332959,30.537528,0
2号线,轨道交通2号线,#EB81B9,洪山广场,114.336354,30.545298,0
2号线,轨道交通2号线,#EB81B9,小龟山,114.326520,30.551108,0
2号线,轨道交通2号线,#EB81B9,螃蟹岬,114.317476,30.553333,0
2号线,轨道交通2号线,#EB81B9,积玉桥,114.308679,30.561284,0
2号线,轨道交通2号线,#EB81B9,江汉路,114.292306,30.579581,0
