line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#2249A3,国际机场,87.474505,43.900990,0
1号线,轨道交通1号线,#2249A3,大地窝堡,87.496534,43.896566,0
1号线,轨道交通1号线,#2249A3,宣仁墩,87.522450,43.914664,0
1号线,轨道交通1号线,#2249A3,三工,87.534972,43.910127,0
1号线,轨道交通1号线,#2249A3,迎宾路口,87.541841,43.900109,0
1号线,轨道交通1号线,#2249A3,植物园,87.548133,43.890863,0
1号线,轨道交通1号线,#2249A3,体育中心,87.555159,43.880499,0
1号线,轨道交通1号线,#2249A3,铁路局,87.562230,43.870168,0
1号线,轨道交通1号线,#2249A3,小西沟,87.566252,43.860249,0
1号线,轨道交通1号线,#2249A3,中营工,87.571633,43.847756,0
1号线,轨道交通1号线,#2249A3,新疆图书馆,87.574626,43.840678,0
1号线,轨道交通1号线,#2249A3,八楼,87.584515,43.834696,0
1号线,轨道交通1号线,#2249A3,王家梁,87.603195,43.837001,0
1号线,轨道交通1号线,#2249A3,南湖北路,87.612477,43.832828,0
1号线,轨道交通1号线,#2249A3,南湖广场,87.613471,43.821928,0
1号线,轨道交通1号线,#2249A3,新兴街,87.614995,43.813621,0
1号线,轨道交通1号线,#2249A3,北门,87.621989,43.801472,0
1号线,轨道交通1号线,#2249A3,南门,87.619540,43.790847,0
1号线,轨道交通1号线,#2249A3,二道桥,87.616992,43.780632,0
1号线,轨道交通1号线,#2249A3,新疆大学,87.614063,43.769503,0
1号线,轨道交通1号线,#2249A3,三屯碑,87.610749,43.761448,0
