line,lineName,color,name,lat,lon,loop
S1线,地铁S1号线(锡澄线),#EE3F42,堰桥,120.314910,31.675557,0
S1线,地铁S1号线(锡澄线),#EE3F42,马镇,120.311106,31.708978,0
S1线,地铁S1号线(锡澄线),#EE3F42,青阳,120.294259,31.770561,0
S1线,地铁S1号线(锡澄线),#EE3F42,峭岐,120.272225,31.816402,0
S1线,地铁S1号线(锡澄线),#EE3F42,南闸,120.267225,31.841583,0
S1线,地铁S1号线(锡澄线),#EE3F42,江阴高铁站,120.278611,31.862554,0
S1线,地铁S1号线(锡澄线),#EE3F42,江阴中医院,120.272246,31.876033,0
S1线,地铁S1号线(锡澄线),#EE3F42,南门,120.271763,31.891176,0
S1线,地铁S1号线(锡澄线),#EE3F42,中山公园,120.271088,31.906519,0
S1线,地铁S1号线(锡澄线),#EE3F42,江阴外滩,120.258424,31.923216,0
1号线,地铁1号线,#EE3F42,堰桥,120.314910,31.675557,0
1号线,地铁1号线,#EE3F42,锡北运河,120.314878,31.662275,0
1号线,地铁1号线,#EE3F42,西漳,120.303648,31.645835,0
1号线,地铁1号线,#EE3F42,天一,120.304345,31.637838,0
1号线,地铁1号线,#EE3F42,刘潭,120.304405,31.626619,0
1号线,地铁1号线,#EE3F42,庄前,120.304897,31.609833,0
1号线,地铁1号线,#EE3F42,民丰,120.303539,31.600949,0
1号线,地铁1号线,#EE3F42,无锡火车站,120.306767,31.589407,0
1号线,地铁1号线,#EE3F42,胜利门,120.299901,31.581945,0
1号线,地铁1号线,#EE3F42,三阳广场,120.299815,31.575787,0
1号线,地铁1号线,#EE3F42,南禅寺,120.306161,31.567481,0
1号线,地铁1号线,#EE3F42,谈渡桥,120.305131,31.562049,0
1号线,地铁1号线,#EE3F42,太湖广场,120.305212,31.555193,0
1号线,地铁1号线,#EE3F42,清名桥,120.311299,31.549239,0
1号线,地铁1号线,#EE3F42,人民医院,120.319300,31.541931,0
1号线,地铁1号线,#EE3F42,华清大桥,120.327989,31.533799,0
1号线,地铁1号线,#EE3F42,扬名,120.324500,31.521122,0
1号线,地铁1号线,#EE3F42,南湖家园,120.324167,31.509787,0
1号线,地铁1号线,#EE3F42,塘铁桥,120.325888,31.500782,0
1号线,地铁1号线,#EE3F42,金匮公园,120.320208,31.493467,0
1号线,地铁1号线,#EE3F42,市民中心,120.306750,31.491559,0
1号线,地铁1号线,#EE3F42,文化宫,120.291179,31.490014,0
1号线,地铁1号线,#EE3F42,江南大学,120.278763,31.483933,0
1号线,地铁1号线,#EE3F42,长广溪,120.277388,31.473366,0
1号线,地铁1号线,#EE3F42,雪浪,120.279623,31.459934,0
1号线,地铁1号线,#EE3F42,葛埭桥,120.274227,31.447770,0
1号线,地铁1号线,#EE3F42,南方泉,120.270275,31.436882,0
2号线,地铁2号线,#00AB4F,无锡东站,120.460118,31.596981,0
2号线,地铁2号线,#00AB4F,迎宾广场,120.454474,31.591617,0
2号线,地铁2号线,#00AB4F,映月湖公园,120.449698,31.587221,0
2号线,地铁2号线,#00AB4F,查桥,120.431377,31.581120,0
2号线,地铁2号线,#00AB4F,九里河公园,120.408619,31.580374,0
2号线,地铁2号线,#00AB4F,云林,120.395030,31.579536,0
2号线,地铁2号线,#00AB4F,庄桥,120.379073,31.578105,0
2号线,地铁2号线,#00AB4F,东亭,120.363665,31.582134,0
2号线,地铁2号线,#00AB4F,柏庄,120.351078,31.585997,0
2号线,地铁2号线,#00AB4F,广益,120.341347,31.586566,0
2号线,地铁2号线,#00AB4F,靖海,120.330414,31.583353,0
2号线,地铁2号线,#00AB4F,上马墩,120.320767,31.582366,0
2号线,地铁2号线,#00AB4F,东林广场,120.308394,31.578479,0
2号线,地铁2号线,#00AB4F,三阳广场,120.299815,31.575787,0
2号线,地铁2号线,#00AB4F,五爱广场,120.290551,31.573626,0
2号线,地铁2号线,#00AB4F,梁溪大桥,120.286370,31.567255,0
2号线,地铁2号线,#00AB4F,大王基,120.275666,31.564803,0
2号线,地铁2号线,#00AB4F,河埒口,120.260863,31.562011,0
2号线,地铁2号线,#00AB4F,小桃源,120.249470,31.559200,0
2号线,地铁2号线,#00AB4F,荣巷,120.236493,31.556647,0
2号线,地铁2号线,#00AB4F,梅园开原寺,120.219585,31.550948,0
3号线,地铁3号线,#01A2E2,苏庙,120.216060,31.596784,0
3号线,地铁3号线,#01A2E2,钱桥,120.229675,31.596498,0
3号线,地铁3号线,#01A2E2,龙山梢,120.244015,31.600118,0
3号线,地铁3号线,#01A2E2,石门路,120.259095,31.597377,0
3号线,地铁3号线,#01A2E2,盛岸,120.269806,31.592325,0
3号线,地铁3号线,#01A2E2,吴桥,120.285481,31.593777,0
3号线,地铁3号线,#01A2E2,北栅口,120.297117,31.591040,0
3号线,地铁3号线,#01A2E2,无锡火车站,120.306767,31.589407,0
3号线,地铁3号线,#01A2E2,广瑞,120.319391,31.588852,0
3号线,地铁3号线,#01A2E2,靖海,120.330414,31.583353,0
3号线,地铁3号线,#01A2E2,东风,120.332308,31.573515,0
3号线,地铁3号线,#01A2E2,叙丰,120.337155,31.566238,0
3号线,地铁3号线,#01A2E2,太湖花园,120.343983,31.559049,0
3号线,地铁3号线,#01A2E2,新光路,120.352475,31.549408,0
3号线,地铁3号线,#01A2E2,旺庄路,120.357816,31.542129,0
3号线,地铁3号线,#01A2E2,黄山路,120.369864,31.529726,0
