line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#01A2E2,咸阳西站,108.662753,34.333614,0
1号线,地铁1号线,#01A2E2,宝泉路,108.665542,34.325184,0
1号线,地铁1号线,#01A2E2,中华西路,108.673897,34.313132,0
1号线,地铁1号线,#01A2E2,安谷,108.693446,34.305908,0
1号线,地铁1号线,#01A2E2,陈杨寨,108.707080,34.313499,0
1号线,地铁1号线,#01A2E2,白马河,108.727074,34.316615,0
1号线,地铁1号线,#01A2E2,陕西中医药大学,108.738359,34.318319,0
1号线,地铁1号线,#01A2E2,沣河森林公园,108.753079,34.320229,0
1号线,地铁1号线,#01A2E2,北槐,108.763291,34.317347,0
1号线,地铁1号线,#01A2E2,上林路,108.777618,34.313193,0
1号线,地铁1号线,#01A2E2,沣东自贸园,108.796760,34.307257,0
1号线,地铁1号线,#01A2E2,后卫寨,108.813536,34.300164,0
1号线,地铁1号线,#01A2E2,三桥,108.832212,34.289958,0
1号线,地铁1号线,#01A2E2,皂河,108.852420,34.284382,0
1号线,地铁1号线,#01A2E2,枣园,108.862601,34.279195,0
1号线,地铁1号线,#01A2E2,汉城路,108.873971,34.273042,0
1号线,地铁1号线,#01A2E2,开远门,108.892467,34.269363,0
1号线,地铁1号线,#01A2E2,劳动路,108.909781,34.269540,0
1号线,地铁1号线,#01A2E2,玉祥门,108.920911,34.269614,0
1号线,地铁1号线,#01A2E2,洒金桥,108.933825,34.269705,0
1号线,地铁1号线,#01A2E2,北大街,108.947165,34.269927,0
1号线,地铁1号线,#01A2E2,五路口,108.962896,34.270019,0
1号线,地铁1号线,#01A2E2,朝阳门,108.974075,34.269971,0
1号线,地铁1号线,#01A2E2,康复路,108.984468,34.269485,0
1号线,地铁1号线,#01A2E2,通化门,108.995383,34.269755,0
1号线,地铁1号线,#01A2E2,万寿路,109.013057,34.269596,0
1号线,地铁1号线,#01A2E2,长乐坡,109.030418,34.272090,0
1号线,地铁1号线,#01A2E2,浐河,109.044430,34.273980,0
1号线,地铁1号线,#01A2E2,半坡,109.056131,34.275484,0
1号线,地铁1号线,#01A2E2,纺织城,109.069751,34.279465,0
2号线,地铁2号线,#FC0601,常宁宫,108.938532,34.111916,0
2号线,地铁2号线,#FC0601,何家营,108.939886,34.127235,0
2号线,地铁2号线,#FC0601,韦曲南,108.945513,34.142117,0
2号线,地铁2号线,#FC0601,航天城,108.944668,34.158006,0
2号线,地铁2号线,#FC0601,凤栖原,108.945207,34.169216,0
2号线,地铁2号线,#FC0601,三爻,108.945910,34.183021,0
2号线,地铁2号线,#FC0601,电视塔,108.947444,34.198082,0
2号线,地铁2号线,#FC0601,纬一街,108.946669,34.212592,0
2号线,地铁2号线,#FC0601,小寨,108.946767,34.222838,0
2号线,地铁2号线,#FC0601,体育场,108.946796,34.232378,0
2号线,地铁2号线,#FC0601,南稍门,108.946913,34.240378,0
2号线,地铁2号线,#FC0601,永宁门,108.946952,34.248186,0
2号线,地铁2号线,#FC0601,钟楼,108.947068,34.261023,0
2号线,地铁2号线,#FC0601,北大街,108.947165,34.269927,0
2号线,地铁2号线,#FC0601,安远门,108.947231,34.281185,0
2号线,地铁2号线,#FC0601,龙首原,108.947298,34.292233,0
2号线,地铁2号线,#FC0601,大明宫西,108.947265,34.305087,0
2号线,地铁2号线,#FC0601,市图书馆,108.947348,34.317812,0
2号线,地铁2号线,#FC0601,凤城五路,108.947288,34.329789,0
2号线,地铁2号线,#FC0601,行政中心,108.947329,34.340983,0
2号线,地铁2号线,#FC0601,凤城十路,108.947695,34.352431,0
2号线,地铁2号线,#FC0601,北苑,108.945214,34.362016,0
2号线,地铁2号线,#FC0601,西安北站,108.938768,34.379390,0
2号线,地铁2号线,#FC0601,红会医院北区,108.945243,34.393455,0
