line,lineName,color,name,lat,lon,loop
迪士尼,迪士尼线,#EB81B9,迪士尼,114.049859,22.313015,0
迪士尼,迪士尼线,#EB81B9,欣澳,114.034300,22.330122,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,金钟,114.170494,22.276448,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,会展,114.178235,22.279196,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,红磡,114.186686,22.299936,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,旺角东,114.177549,22.319214,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,九龙塘,114.180726,22.334370,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,大围,114.183441,22.370133,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,沙田,114.191941,22.379294,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,火炭,114.203115,22.392434,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,大学,114.215000,22.411030,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,大埔墟,114.175236,22.441930,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,太和,114.166418,22.447978,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,粉岭,114.143647,22.489469,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,上水,114.132818,22.498818,0
东铁线（金钟-落马洲）,东铁线,#69C7F4,落马洲,114.070889,22.511861,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,金钟,114.170494,22.276448,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,会展,114.178235,22.279196,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,红磡,114.186686,22.299936,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,旺角东,114.177549,22.319214,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,九龙塘,114.180726,22.334370,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,大围,114.183441,22.370133,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,沙田,114.191941,22.379294,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,火炭,114.203115,22.392434,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,大学,114.215000,22.411030,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,大埔墟,114.175236,22.441930,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,太和,114.166418,22.447978,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,粉岭,114.143647,22.489469,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,上水,114.132818,22.498818,0
东铁线（金钟-罗湖）,东铁线,#69C7F4,罗湖,114.118597,22.524998,0
东涌线,东涌线,#FFA500,东涌,113.946242,22.286207,0
东涌线,东涌线,#FFA500,欣澳,114.034300,22.330122,0
东涌线,东涌线,#FFA500,青衣,114.112563,22.355763,0
东涌线,东涌线,#FFA500,荔景,114.131105,22.345970,0
东涌线,东涌线,#FFA500,南昌,114.158541,22.323921,0
东涌线,东涌线,#FFA500,奥运,114.164989,22.315280,0
东涌线,东涌线,#FFA500,九龙,114.166578,22.302336,0
东涌线,东涌线,#FFA500,香港,114.162952,22.282068,0
港岛线,港岛线,#3080B7,坚尼地城,114.133869,22.278567,0
港岛线,港岛线,#3080B7,香港大学,114.140803,22.281397,0
港岛线,港岛线,#3080B7,西营盘,114.147572,22.282666,0
港岛线,港岛线,#3080B7,上环,114.157738,22.283657,0
港岛线,港岛线,#3080B7,中环,114.164061,22.278969,0
港岛线,港岛线,#3080B7,金钟,114.170494,22.276448,0
港岛线,港岛线,#3080B7,湾仔,114.177904,22.274386,0
港岛线,港岛线,#3080B7,铜锣湾,114.188547,22.277493,0
港岛线,港岛线,#3080B7,天后,114.196768,22.279984,0
港岛线,港岛线,#3080B7,炮台山,114.198948,22.285688,0
港岛线,港岛线,#3080B7,北角,114.205467,22.288219,0
港岛线,港岛线,#3080B7,鲗鱼涌,114.214680,22.284993,0
港岛线,港岛线,#3080B7,太古,114.220993,22.281807,0
港岛线,港岛线,#3080B7,西湾河,114.227223,22.279294,0
港岛线,港岛线,#3080B7,筲箕湾,114.233833,22.276237,0
港岛线,港岛线,#3080B7,杏花邨,114.244545,22.273808,0
港岛线,港岛线,#3080B7,柴湾,114.241982,22.261764,0
观塘线,观塘线,#00AB4F,黄埔,114.194626,22.302199,0
观塘线,观塘线,#00AB4F,何文田,114.187751,22.306628,0
观塘线,观塘线,#00AB4F,油麻地,114.175658,22.310264,0
观塘线,观塘线,#00AB4F,旺角,114.174280,22.316842,0
观塘线,观塘线,#00AB4F,太子,114.173219,22.321937,0
