line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#CC0000,路窝,117.101063,34.241587,0
1号线,地铁1号线,#CC0000,杏山子,117.119600,34.248692,0
1号线,地铁1号线,#CC0000,韩山,117.141729,34.255534,0
1号线,地铁1号线,#CC0000,工农路,117.150831,34.258970,0
1号线,地铁1号线,#CC0000,人民广场,117.157940,34.261858,0
1号线,地铁1号线,#CC0000,苏堤路,117.168376,34.263384,0
1号线,地铁1号线,#CC0000,徐医附院,117.178874,34.263565,0
1号线,地铁1号线,#CC0000,彭城广场,117.187294,34.263699,0
1号线,地铁1号线,#CC0000,民主北路,117.196054,34.265210,0
1号线,地铁1号线,#CC0000,徐州火车站,117.203318,34.266302,0
1号线,地铁1号线,#CC0000,子房山,117.210958,34.266265,0
1号线,地铁1号线,#CC0000,铜山路,117.226211,34.262143,0
1号线,地铁1号线,#CC0000,黄山垅,117.234356,34.251931,0
1号线,地铁1号线,#CC0000,庆丰路,117.246062,34.252175,0
1号线,地铁1号线,#CC0000,医科大学,117.259621,34.253310,0
1号线,地铁1号线,#CC0000,乔家湖,117.269969,34.254190,0
1号线,地铁1号线,#CC0000,金龙湖,117.290273,34.262649,0
1号线,地铁1号线,#CC0000,徐州东站,117.306334,34.266627,0
2号线,地铁2号线,#EE782E,客运北站,117.188504,34.331475,0
2号线,地铁2号线,#EE782E,李沃,117.192363,34.318876,0
2号线,地铁2号线,#EE782E,九里山,117.192404,34.304341,0
2号线,地铁2号线,#EE782E,奔腾大道,117.191371,34.295803,0
2号线,地铁2号线,#EE782E,九龙湖,117.187986,34.285350,0
2号线,地铁2号线,#EE782E,庆云桥,117.185372,34.273876,0
2号线,地铁2号线,#EE782E,彭城广场,117.187294,34.263699,0
2号线,地铁2号线,#EE782E,户部山,117.191768,34.257187,0
2号线,地铁2号线,#EE782E,师大云龙校区,117.193079,34.250304,0
2号线,地铁2号线,#EE782E,中心医院,117.193715,34.241684,0
2号线,地铁2号线,#EE782E,淮塔,117.200827,34.235861,0
2号线,地铁2号线,#EE782E,科技城,117.207042,34.227378,0
2号线,地铁2号线,#EE782E,七里沟,117.216512,34.220149,0
2号线,地铁2号线,#EE782E,百果园,117.226541,34.213546,0
2号线,地铁2号线,#EE782E,拖龙山,117.242735,34.212040,0
2号线,地铁2号线,#EE782E,大龙湖,117.264158,34.210113,0
2号线,地铁2号线,#EE782E,市行政中心,117.280625,34.207282,0
2号线,地铁2号线,#EE782E,汉源大道,117.291440,34.207177,0
2号线,地铁2号线,#EE782E,新元大道,117.302153,34.207213,0
2号线,地铁2号线,#EE782E,新城区东,117.315456,34.207205,0
3号线,地铁3号线,#3080B7,下淀,117.216452,34.283361,0
3号线,地铁3号线,#3080B7,白云山,117.211798,34.277274,0
3号线,地铁3号线,#3080B7,徐州火车站,117.203318,34.266302,0
3号线,地铁3号线,#3080B7,天桥,117.205048,34.258453,0
3号线,地铁3号线,#3080B7,和平大桥,117.206000,34.249734,0
3号线,地铁3号线,#3080B7,淮塔,117.200827,34.235861,0
3号线,地铁3号线,#3080B7,矿大文昌校区,117.195954,34.222998,0
3号线,地铁3号线,#3080B7,南三环路,117.194196,34.214153,0
3号线,地铁3号线,#3080B7,翟山,117.194171,34.202062,0
3号线,地铁3号线,#3080B7,师范大学,117.189867,34.194137,0
3号线,地铁3号线,#3080B7,玉泉河,117.187194,34.186033,0
3号线,地铁3号线,#3080B7,无名山公园,117.174749,34.178981,0
3号线,地铁3号线,#3080B7,浦江路,117.171733,34.171728,0
3号线,地铁3号线,#3080B7,焦山,117.163161,34.164760,0
3号线,地铁3号线,#3080B7,钱江路,117.162016,34.157633,0
3号线,地铁3号线,#3080B7,高新区南,117.160495,34.149315,0
