line,lineName,color,name,lat,lon,loop
1号线,地铁1号线,#FC0601,河南工业大学,113.542174,34.826597,0
1号线,地铁1号线,#FC0601,郑大科技园,113.541865,34.816735,0
1号线,地铁1号线,#FC0601,郑州大学,113.541443,34.807581,0
1号线,地铁1号线,#FC0601,梧桐街,113.540929,34.794393,0
1号线,地铁1号线,#FC0601,兰寨,113.541000,34.783442,0
1号线,地铁1号线,#FC0601,铁炉,113.541028,34.767983,0
1号线,地铁1号线,#FC0601,市民中心,113.553932,34.762054,0
1号线,地铁1号线,#FC0601,西流湖,113.570188,34.761135,0
1号线,地铁1号线,#FC0601,西三环,113.588175,34.760193,0
1号线,地铁1号线,#FC0601,秦岭路,113.603314,34.756800,0
1号线,地铁1号线,#FC0601,五一公园,113.614308,34.755827,0
1号线,地铁1号线,#FC0601,碧沙岗,113.624373,34.755040,0
1号线,地铁1号线,#FC0601,绿城广场,113.633548,34.747475,0
1号线,地铁1号线,#FC0601,医学院,113.642608,34.747529,0
1号线,地铁1号线,#FC0601,郑州火车站,113.655952,34.746516,0
1号线,地铁1号线,#FC0601,二七广场,113.665854,34.752527,0
1号线,地铁1号线,#FC0601,人民路·河南中医一附院,113.673865,34.757566,0
1号线,地铁1号线,#FC0601,紫荆山,113.682064,34.762176,0
1号线,地铁1号线,#FC0601,燕庄,113.703396,34.763390,0
1号线,地铁1号线,#FC0601,民航路,113.715814,34.763954,0
1号线,地铁1号线,#FC0601,会展中心,113.725738,34.766727,0
1号线,地铁1号线,#FC0601,黄河南路,113.744513,34.762860,0
1号线,地铁1号线,#FC0601,农业南路,113.755327,34.765423,0
1号线,地铁1号线,#FC0601,东风南路,113.767132,34.764450,0
1号线,地铁1号线,#FC0601,郑州东站,113.777099,34.759251,0
1号线,地铁1号线,#FC0601,博学路,113.792535,34.759935,0
1号线,地铁1号线,#FC0601,市体育中心,113.810399,34.773100,0
1号线,地铁1号线,#FC0601,龙子湖,113.810504,34.792766,0
1号线,地铁1号线,#FC0601,文苑北路,113.812199,34.808447,0
